codigo,nivel,padre,nombre,label
34130,4,34100,Energía Eléctrica para Comercialización,34130 - Energía Eléctrica para Comercialización
34200,3,34000,Productos Químicos y Farmacéuticos,34200 - Productos Químicos y Farmacéuticos
34300,3,34000,Llantas y Neumáticos,34300 - Llantas y Neumáticos
34400,3,34000,Productos de Cuero y Caucho,34400 - Productos de Cuero y Caucho
34500,3,34000,Productos de Minerales no Metálicos y Plásticos,34500 - Productos de Minerales no Metálicos y Plásticos
34600,3,34000,Productos Metálicos,34600 - Productos Metálicos
34700,3,34000,Minerales,34700 - Minerales
34800,3,34000,Herramientas Menores,34800 - Herramientas Menores
34900,3,34000,Material y Equipo Militar,34900 - Material y Equipo Militar
39000,2,30000,Productos Varios,39000 - Productos Varios
39100,3,39000,Material de Limpieza e Higiene,39100 - Material de Limpieza e Higiene
39200,3,39000,Material Deportivo y Recreativo,39200 - Material Deportivo y Recreativo
39300,3,39000,Utensilios de Cocina y Comedor,39300 - Utensilios de Cocina y Comedor
39400,3,39000,Instrumental Menor Médico-Quirúrgico,39400 - Instrumental Menor Médico-Quirúrgico
39500,3,39000,Útiles de Escritorio y Oficina,39500 - Útiles de Escritorio y Oficina
39600,3,39000,"Útiles Educacionales, Culturales y de Capacitación","39600 - Útiles Educacionales, Culturales y de Capacitación"
39700,3,39000,Útiles y Materiales Eléctricos,39700 - Útiles y Materiales Eléctricos
39800,3,39000,Otros Repuestos y Accesorios,39800 - Otros Repuestos y Accesorios
39900,3,39000,Otros Materiales y Suministros,39900 - Otros Materiales y Suministros
39910,4,39900,Acuñación de Monedas e Impresión de Billetes,39910 - Acuñación de Monedas e Impresión de Billetes
39911,5,39910,Acuñación de monedas,39911 - Acuñación de monedas
39912,5,39910,Impresión de billetes,39912 - Impresión de billetes
39990,4,39900,Otros Materiales y Suministros,39990 - Otros Materiales y Suministros
40000,1,,ACTIVOS REALES,40000 - ACTIVOS REALES
41000,2,40000,Inmobiliarios,41000 - Inmobiliarios
41100,3,41000,Edificios,41100 - Edificios
41200,3,41000,Tierras y Terrenos,41200 - Tierras y Terrenos
41300,3,41000,Otras Adquisiciones,41300 - Otras Adquisiciones
42000,2,40000,Construcciones,42000 - Construcciones
42200,3,42000,Construcciones y Mejoras de Bienes Públicos Nacionales de Dominio Privado,42200 - Construcciones y Mejoras de Bienes Públicos Nacionales de Dominio Privado
42210,4,42200,Construcciones y Mejoras de Viviendas,42210 - Construcciones y Mejoras de Viviendas
42220,4,42200,Construcciones y Mejoras para Defensa y Seguridad,42220 - Construcciones y Mejoras para Defensa y Seguridad
42230,4,42200,Otras Construcciones y Mejoras de Bienes Públicos de Dominio Privado,42230 - Otras Construcciones y Mejoras de Bienes Públicos de Dominio Privado
42240,4,42200,Supervisión de Construcciones y Mejoras de Bienes Públicos de Dominio Privado,42240 - Supervisión de Construcciones y Mejoras de Bienes Públicos de Dominio Privado
42300,3,42000,Construcciones y Mejoras de Bienes Nacionales de Dominio Público,42300 - Construcciones y Mejoras de Bienes Nacionales de Dominio Público
42310,4,42300,Construcciones y Mejoras de Bienes de Dominio Público,42310 - Construcciones y Mejoras de Bienes de Dominio Público
42320,4,42300,Supervisión de Construcciones y Mejoras de Bienes de Dominio Público,42320 - Supervisión de Construcciones y Mejoras de Bienes de Dominio Público
42400,3,42000,Construcciones y Mejoras de Bienes Públicos Nacionales de Dominio Privado - Llave en,42400 - Construcciones y Mejoras de Bienes Públicos Nacionales de Dominio Privado - Llave en
42500,3,42000,Construcciones y Mejoras de Bienes Públicos Nacionales de Dominio Público - Llave en,42500 - Construcciones y Mejoras de Bienes Públicos Nacionales de Dominio Público - Llave en
43000,2,40000,Maquinaria y Equipo,43000 - Maquinaria y Equipo
43100,3,43000,Equipo de Oficina y Muebles,43100 - Equipo de Oficina y Muebles
43110,4,43100,Equipo de Oficina y Muebles,43110 - Equipo de Oficina y Muebles
43120,4,43100,Equipo de Computación,43120 - Equipo de Computación
43200,3,43000,Maquinaria y Equipo de Producción,43200 - Maquinaria y Equipo de Producción
43300,3,43000,"Equipo de Transporte, Tracción y Elevación","43300 - Equipo de Transporte, Tracción y Elevación"
43310,4,43300,Vehículos Livianos para Funciones Administrativas,43310 - Vehículos Livianos para Funciones Administrativas
43320,4,43300,Vehículos Livianos para Proyectos de Inversión Pública,43320 - Vehículos Livianos para Proyectos de Inversión Pública
43330,4,43300,Maquinaria y Equipo de Transporte,43330 - Maquinaria y Equipo de Transporte
43340,4,43300,Equipo de Elevación,43340 - Equipo de Elevación
43400,3,43000,Equipo Médico y de Laboratorio,43400 - Equipo Médico y de Laboratorio
43500,3,43000,Equipo de Comunicación,43500 - Equipo de Comunicación
43600,3,43000,Equipo Educacional y Recreativo,43600 - Equipo Educacional y Recreativo
43700,3,43000,Otra Maquinaria y Equipo,43700 - Otra Maquinaria y Equipo
46000,2,40000,Estudios y Proyectos para Inversión,46000 - Estudios y Proyectos para Inversión
46100,3,46000,Para Construcciones de Bienes Públicos de Dominio Privado,46100 - Para Construcciones de Bienes Públicos de Dominio Privado
46110,4,46100,Consultoría por Producto para Construcciones de Bienes Públicos de Dominio,46110 - Consultoría por Producto para Construcciones de Bienes Públicos de Dominio
46120,4,46100,Consultoría de Línea para Construcciones de Bienes Públicos de Dominio,46120 - Consultoría de Línea para Construcciones de Bienes Públicos de Dominio
46200,3,46000,Para Construcciones de Bienes de Dominio Público,46200 - Para Construcciones de Bienes de Dominio Público
46210,4,46200,Consultoría por Producto para Construcciones de Bienes Públicos de Dominio,46210 - Consultoría por Producto para Construcciones de Bienes Públicos de Dominio
46220,4,46200,Consultoría de Línea para Construcciones de Bienes Públicos de Dominio Público.,46220 - Consultoría de Línea para Construcciones de Bienes Públicos de Dominio Público.
46300,3,46000,"Consultoría para capacitación, transferencia de tecnología y organización para procesos","46300 - Consultoría para capacitación, transferencia de tecnología y organización para procesos"
46310,4,46300,Consultoría por Producto,46310 - Consultoría por Producto
46320,4,46300,Consultoría de Línea,46320 - Consultoría de Línea
49000,2,40000,Otros Activos,49000 - Otros Activos
49100,3,49000,Activos Intangibles,49100 - Activos Intangibles
49300,3,49000,Activos de Origen Animal,49300 - Activos de Origen Animal
49400,3,49000,Activos Museológicos y Culturales,49400 - Activos Museológicos y Culturales
49500,3,49000,Activos de Origen Vegetal,49500 - Activos de Origen Vegetal
49900,3,49000,Otros,49900 - Otros
50000,1,,ACTIVOS FINANCIEROS,50000 - ACTIVOS FINANCIEROS
51000,2,50000,"Compra de Acciones, Participaciones de Capital e Inversiones","51000 - Compra de Acciones, Participaciones de Capital e Inversiones"
51100,3,51000,Acciones y Participaciones de Capital en Empresas Privadas Nacionales,51100 - Acciones y Participaciones de Capital en Empresas Privadas Nacionales
51200,3,51000,Acciones y Participaciones de Capital en Empresas Públicas Nacionales,51200 - Acciones y Participaciones de Capital en Empresas Públicas Nacionales
51300,3,51000,Acciones y Participaciones de Capital en Empresas Públicas Territoriales,51300 - Acciones y Participaciones de Capital en Empresas Públicas Territoriales
51310,4,51300,Del Gobierno Autónomo Departamental,51310 - Del Gobierno Autónomo Departamental
51320,4,51300,Del Gobierno Autónomo Municipal,51320 - Del Gobierno Autónomo Municipal
51330,4,51300,Del Gobierno Autónomo Indígena Originario Campesino,51330 - Del Gobierno Autónomo Indígena Originario Campesino
51340,4,51300,Del Gobierno Autónomo Regional,51340 - Del Gobierno Autónomo Regional
51500,3,51000,Acciones y Participaciones de Capital en Instituciones Públicas Financieras No Bancarias,51500 - Acciones y Participaciones de Capital en Instituciones Públicas Financieras No Bancarias
51600,3,51000,Acciones y Participaciones de Capital en Instituciones Públicas Financieras Bancarias,51600 - Acciones y Participaciones de Capital en Instituciones Públicas Financieras Bancarias
51700,3,51000,Acciones y Participaciones de Capital en Organismos Internacionales,51700 - Acciones y Participaciones de Capital en Organismos Internacionales
51800,3,51000,Otras Acciones y Participaciones de Capital en el Exterior,51800 - Otras Acciones y Participaciones de Capital en el Exterior
51900,3,51000,Inversiones en el Exterior,51900 - Inversiones en el Exterior
52000,2,50000,Concesión de Préstamos a Corto Plazo al Sector Público No Financiero,52000 - Concesión de Préstamos a Corto Plazo al Sector Público No Financiero
52100,3,52000,Concesión de Préstamos a Corto Plazo a los Órganos del Estado Plurinacional,52100 - Concesión de Préstamos a Corto Plazo a los Órganos del Estado Plurinacional
52200,3,52000,Concesión de Préstamos a Corto Plazo a Instituciones Públicas Descentralizadas,52200 - Concesión de Préstamos a Corto Plazo a Instituciones Públicas Descentralizadas
52400,3,52000,Concesión de Préstamos a Corto Plazo a Entidades Territoriales Autónomas,52400 - Concesión de Préstamos a Corto Plazo a Entidades Territoriales Autónomas
52410,4,52400,Gobierno Autónomo Departamental,52410 - Gobierno Autónomo Departamental
52420,4,52400,Gobierno Autónomo Municipal,52420 - Gobierno Autónomo Municipal
52430,4,52400,Gobierno Autónomo Indígena Originario Campesino,52430 - Gobierno Autónomo Indígena Originario Campesino
52440,4,52400,Gobierno Autónomo Regional,52440 - Gobierno Autónomo Regional
52600,3,52000,Concesión de Préstamos a Corto Plazo a Instituciones de Seguridad Social,52600 - Concesión de Préstamos a Corto Plazo a Instituciones de Seguridad Social
52700,3,52000,Concesión de Préstamos a Corto Plazo a Empresas Públicas Nacionales,52700 - Concesión de Préstamos a Corto Plazo a Empresas Públicas Nacionales
52800,3,52000,Concesión de Préstamos a Corto Plazo a Empresas Públicas Territoriales,52800 - Concesión de Préstamos a Corto Plazo a Empresas Públicas Territoriales
52810,4,52800,Del Gobierno Autónomo Departamental,52810 - Del Gobierno Autónomo Departamental
52820,4,52800,Del Gobierno Autónomo Municipal,52820 - Del Gobierno Autónomo Municipal
52830,4,52800,Del Gobierno Autónomo Indígena Originario Campesino,52830 - Del Gobierno Autónomo Indígena Originario Campesino
52840,4,52800,Del Gobierno Autónomo Regional,52840 - Del Gobierno Autónomo Regional
53000,2,50000,Concesión de Préstamos a Largo Plazo al Sector Público No Financiero,53000 - Concesión de Préstamos a Largo Plazo al Sector Público No Financiero
53100,3,53000,Concesión de Préstamos a Largo Plazo a los Órganos del Estado Plurinacional,53100 - Concesión de Préstamos a Largo Plazo a los Órganos del Estado Plurinacional
53200,3,53000,Concesión de Préstamos a Largo Plazo a Instituciones Públicas Descentralizadas,53200 - Concesión de Préstamos a Largo Plazo a Instituciones Públicas Descentralizadas
53400,3,53000,Concesión de Préstamos a Largo Plazo a Entidades Territoriales Autónomas,53400 - Concesión de Préstamos a Largo Plazo a Entidades Territoriales Autónomas
53410,4,53400,Gobierno Autónomo Departamental,53410 - Gobierno Autónomo Departamental
53420,4,53400,Gobierno Autónomo Municipal,53420 - Gobierno Autónomo Municipal
53430,4,53400,Gobierno Autónomo Indígena Originario Campesino,53430 - Gobierno Autónomo Indígena Originario Campesino
53440,4,53400,Gobierno Autónomo Regional,53440 - Gobierno Autónomo Regional
