nivel,departamento,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024
Municipio/TIOC,Pando,Federico Román,Villa Nueva,Villa Nueva,993,2801,2511,1346,1165
Municipio/TIOC,Pando,Madre de Dios,Puerto Gonzalo Moreno,Puerto Gonzalo Moreno,3810,8160,12431,6549,5882
Municipio/TIOC,Pando,Madre de Dios,San Lorenzo,San Lorenzo,3471,7652,9832,5261,4571
Municipio/TIOC,Pando,Madre de Dios,Sena,Sena,2240,8258,10522,5683,4839
Municipio/TIOC,Pando,Manuripi,Filadelfia,Filadelfia,3145,5756,8045,4487,3558
Municipio/TIOC,Pando,Manuripi,Puerto Rico,Puerto Rico,4003,6239,7367,4099,3268
Municipio/TIOC,Pando,Manuripi,San Pedro,San Pedro,1082,2991,3518,1811,1707
Municipio/TIOC,Pando,Nicolás Suárez,Bella Flor,Bella Flor,2305,3909,3630,2107,1523
Municipio/TIOC,Pando,Nicolás Suárez,Bolpebra,Bolpebra,1194,2173,2437,1394,1043
Municipio/TIOC,Pando,Nicolás Suárez,Cobija,Cobija,22324,46267,55114,28121,26993
Municipio/TIOC,Pando,Nicolás Suárez,Porvenir,Porvenir,3713,7948,9353,4654,4699
Municipio/TIOC,Potosí,Alonso de Ibáñez,Caripuyo,Caripuyo,9030,8704,8458,4656,3802
Municipio/TIOC,Potosí,Alonso de Ibáñez,Sacaca,Sacaca,18725,19611,17205,9169,8036
Municipio/TIOC,Potosí,Antonio Quijarro,Porco,Porco,5959,10866,14654,7978,6676
Municipio/TIOC,Potosí,Antonio Quijarro,TIOC-Jatun Ayllu Yura,TIOC-Jatun Ayllu Yura,4794,5935,5819,2821,2998
Municipio/TIOC,Potosí,Antonio Quijarro,Tomave,Tomave,7970,8854,7845,3902,3943
Municipio/TIOC,Potosí,Antonio Quijarro,Uyuni,Uyuni,18705,29672,35318,17133,18185
Municipio/TIOC,Potosí,Charcas,San Pedro,San Pedro,27639,30012,28416,15059,13357
Municipio/TIOC,Potosí,Charcas,Toro Toro,Toro Toro,10535,10870,10714,5511,5203
Municipio/TIOC,Potosí,Chayanta,Colquechaca,Colquechaca,13816,15260,16363,9160,7203
Municipio/TIOC,Potosí,Chayanta,Ocurí,Ocurí,18516,16118,14532,8250,6282
Municipio/TIOC,Potosí,Chayanta,Pocoata,Pocoata,20116,26330,32641,16977,15664
Municipio/TIOC,Potosí,Chayanta,Ravelo,Ravelo,20536,21213,16909,8930,7979
Municipio/TIOC,Potosí,Chayanta,San Pedro de Macha,San Pedro de Macha,17221,19939,21011,11569,9442
Municipio/TIOC,Potosí,Cornelio Saavedra,Betanzos,Betanzos,36308,33922,31904,15953,15951
Municipio/TIOC,Potosí,Cornelio Saavedra,Chaquí,Chaquí,9644,9910,9285,4585,4700
Municipio/TIOC,Potosí,Cornelio Saavedra,Tacobamba,Tacobamba,12754,11835,14366,7839,6527
Municipio/TIOC,Potosí,Daniel Campos,Llica,Llica,2901,4150,4187,2142,2045
Municipio/TIOC,Potosí,Daniel Campos,Tahua,Tahua,2166,1700,1546,803,743
Municipio/TIOC,Potosí,Enrique Baldivieso,San Agustín,San Agustín,1640,1684,2126,1057,1069
Municipio/TIOC,Potosí,General Bernardino Bilbao,Acasio,Acasio,5764,6161,4471,2193,2278
Municipio/TIOC,Potosí,General Bernardino Bilbao,Arampampa,Arampampa,4859,4170,3666,1930,1736
Municipio/TIOC,Potosí,José María Linares,"Caiza ""D""","Caiza ""D""",10914,12067,12999,6463,6536
Municipio/TIOC,Potosí,José María Linares,Ckochas,Ckochas,16886,15812,14338,7403,6935
Municipio/TIOC,Potosí,José María Linares,Puna,Puna,23612,21917,16389,7911,8478
Municipio/TIOC,Potosí,Modesto Omiste,Villazón,Villazón,36266,44906,49340,23609,25731
Municipio/TIOC,Potosí,Nor Chichas,Cotagaita,Cotagaita,24025,31801,29221,14451,14770
Municipio/TIOC,Potosí,Nor Chichas,Vitichi,Vitichi,11298,10646,10184,4886,5298
Municipio/TIOC,Potosí,Nor Lípez,"Colcha ""K""","Colcha ""K""",9645,12997,12740,6923,5817
Municipio/TIOC,Potosí,Nor Lípez,San Pedro de Quemes,San Pedro de Quemes,815,1060,1621,876,745
Municipio/TIOC,Potosí,Rafael Bustillo,Chayanta,Chayanta,14165,16129,16021,8334,7687
Municipio/TIOC,Potosí,Rafael Bustillo,Chuquihuta Ayllu Jucumani,Chuquihuta Ayllu Jucumani,6476,8019,8220,4489,3731
Municipio/TIOC,Potosí,Rafael Bustillo,Llallagua,Llallagua,36909,41104,41686,19749,21937
Municipio/TIOC,Potosí,Rafael Bustillo,Uncía,Uncía,18704,22020,22768,11672,11096
