;;;;;;;;;;;;;No Pobre;;;Pobre;;
N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO / TIOC;ÁREA;Inadecuados Materiales de la Vivienda;Insuficientes Espacios en la Vivienda;Inadecuados Servicios de Agua y Saneamiento;Inadecuados Insumos Energéticos;Insuficiencia en educación;Inadecuada atención en salud;Total Población No Pobre;Necesidades Básicas Satisfechas;Umbral;Total Población Pobre;Moderada;Indigente;Marginal
154;Municipio;LA PAZ;Omasuyos;Huarina;Huarina;3.218;4.182;4.074;2.609;3.479;1.640;53,3;13,1;40,2;46,7;41,5;5,1;0,1
155;Municipio;LA PAZ;Omasuyos;Huarina;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
156;Municipio;LA PAZ;Omasuyos;Huarina;Rural;3.218;4.182;4.074;2.609;3.479;1.640;53,3;13,1;40,2;46,7;41,5;5,1;0,1
157;Municipio;LA PAZ;Omasuyos;Santiago de Huata;Santiago de Huata;4.146;3.895;3.846;5.002;2.991;2.004;54,9;19,2;35,7;45,1;40,2;4,7;0,2
158;Municipio;LA PAZ;Omasuyos;Santiago de Huata;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
159;Municipio;LA PAZ;Omasuyos;Santiago de Huata;Rural;4.146;3.895;3.846;5.002;2.991;2.004;54,9;19,2;35,7;45,1;40,2;4,7;0,2
160;Municipio;LA PAZ;Omasuyos;Huatajata;Huatajata;845;2.082;1.323;1.079;1.030;532;79,7;42,7;37;20,3;18,1;2,2;0
161;Municipio;LA PAZ;Omasuyos;Huatajata;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
162;Municipio;LA PAZ;Omasuyos;Huatajata;Rural;845;2.082;1.323;1.079;1.030;532;79,7;42,7;37;20,3;18,1;2,2;0
163;Municipio;LA PAZ;Omasuyos;Chua Cocani;Chua Cocani;2.531;4.073;2.965;2.397;2.256;1.296;58,9;16,7;42,2;41,1;36,3;4,7;0,1
164;Municipio;LA PAZ;Omasuyos;Chua Cocani;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
165;Municipio;LA PAZ;Omasuyos;Chua Cocani;Rural;2.531;4.073;2.965;2.397;2.256;1.296;58,9;16,7;42,2;41,1;36,3;4,7;0,1
166;Provincia;LA PAZ;Pacajes;;Pacajes;44.998;43.805;51.746;44.543;23.588;16.664;25,9;5,1;20,8;74,1;62;11,9;0,2
