codigo_entidad,nombre_entidad_sigep,departamento,key_sigep,municipio_ine_sugerido,poblacion_2024,score_aprox,municipio_ine_final
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,Nuestra Señora de La Paz,757431,0.45,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,San Pedro de Curahuara,9217,0.4737,
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,jesus de machaca,Mecapaca,20446,0.4167,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,Sipesipe,55908,0.9412,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,Puerto Villarroel,64595,0.1538,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,Villa Rivero,8599,0.1905,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,Aiquile,23123,0.25,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,Pasorapa,6475,0.2353,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,Vila Vila,5244,0.3333,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,Santiváñez,7940,0.3158,
1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,sipe sipe,San Benito,13054,0.2105,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,Sipesipe,55908,0.381,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,San Benito,13054,0.3478,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,Entre Ríos,45780,0.3478,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,Cliza,21155,0.2222,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,Sicaya,3980,0.3158,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,Punata,35248,0.2105,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,Pocona,12258,0.2105,
1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,independencia,Omereque,6700,0.2857,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Yunguyo del Litoral,875,0.973,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Santiago de Huari,13502,0.4571,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Santuario de Quillacas,5161,0.4,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Santiago de Huayllamarca,5996,0.4762,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Totora,6637,0.4167,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Curahuara de Carangas,6683,0.4103,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Belén de Andamarca,3061,0.3889,
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,yunguyo de litoral,Cruz de Machacamarca,1517,0.3684,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Santiago de Huayllamarca,5996,0.6667,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Andamarca,6311,0.6667,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Challapata,35427,0.6364,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Machacamarca,6120,0.6667,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Huachacalla,4011,0.5217,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Cruz de Machacamarca,1517,0.5,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Belén de Andamarca,3061,0.4667,
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,huayllamarca,Santuario de Quillacas,5161,0.4118,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Esmeralda,3882,0.4444,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Uru Chipaya (Nación Originaria Uru Chipaya),2355,0.4,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Totora,6637,0.4,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Sabaya,15504,0.4,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Escara,4231,0.4,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Caracollo,22850,0.3333,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Andamarca,6311,0.3333,
1435,Gobierno Autónomo Municipal de Soracachi,Oruro,soracachi,Santuario de Quillacas,5161,0.3226,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,San Pedro de Quemes,1621,0.7442,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,San Pedro de Macha,21011,0.7143,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,San Pedro,28416,0.5455,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,San Antonio de Esmoruco,1936,0.4255,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,San Agustín,2126,0.4,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,San Pablo,3150,0.3636,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,Pocoata,32641,0.1935,
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,san pedro de buena vista,Puna,16389,0.2857,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,San Pablo,3150,0.6667,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,San Pedro de Quemes,1621,0.5946,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,San Pedro de Macha,21011,0.5556,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,San Antonio de Esmoruco,1936,0.5366,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,San Pedro,28416,0.4444,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,San Agustín,2126,0.4138,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,"Caiza ""D""",12999,0.32,
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,san pablo de lipez,TIOC-Jatun Ayllu Yura,5819,0.3077,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,Villa Montes,46071,0.9565,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,El Puente,9523,0.4,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,Entre Ríos,20864,0.381,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,Uriondo,15923,0.3333,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,Tarija,238749,0.2353,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,Yacuiba,97634,0.2222,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,Padcaya,17817,0.1111,
1606,Gobierno Autónomo Municipal de Villamontes,Tarija,villamontes,Bermejo,36970,0.2222,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,Santa Cruz de la Sierra,1610982,0.7143,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,Santa Rosa,17999,0.6897,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,San Rafael,8842,0.5517,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,San José,40974,0.5185,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,San Antonio de Lomerio,6364,0.4878,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,San Javier,14888,0.3448,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,Ascención de Guarayos,34079,0.5,
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,santa rosa del sara,San Ramón,8541,0.4286,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,Moromoro,2793,0.9412,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,Roboré,18763,0.2667,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,Porongo,23126,0.5,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,Montero,126886,0.5,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,Puerto Quijarro,17974,0.25,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,San Antonio de Lomerio,6364,0.3226,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,Mineros,23110,0.375,
1727,Gobierno Autónomo Municipal de Moro Moro,Santa Cruz,moro moro,El Carmen Rivero Tórrez,8816,0.375,
