codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1259,Gobierno Autónomo Municipal de Palos Blancos,La Paz,municipal,GAM,47454535.0,Sur Yungas,Palos Blancos,16786.0,24731.0,27137.0,14341.0,12796.0,1748.702325238604
1260,Gobierno Autónomo Municipal de La Asunta,La Paz,municipal,GAM,58639357.0,Sur Yungas,La Asunta,18016.0,40178.0,45587.0,23906.0,21681.0,1286.3175247329282
1261,Gobierno Autónomo Municipal de Pucarani,La Paz,municipal,GAM,65742628.0,Los Andes,Pucarani,24570.0,30124.0,49850.0,24339.0,25511.0,1318.8089869608827
1262,Gobierno Autónomo Municipal de Laja,La Paz,municipal,GAM,52102316.0,Los Andes,Laja,16311.0,24531.0,38652.0,18939.0,19713.0,1347.9849943081858
1263,Gobierno Autónomo Municipal de Batallas,La Paz,municipal,GAM,30560704.0,Los Andes,Batallas,20925.0,17426.0,20607.0,9862.0,10745.0,1483.025379725336
1264,Gobierno Autónomo Municipal de Puerto Pérez,La Paz,municipal,GAM,7948356.0,Los Andes,Puerto Pérez,7830.0,6498.0,7900.0,3858.0,4042.0,1006.1210126582279
1265,Gobierno Autónomo Municipal de Coroico,La Paz,municipal,GAM,27925251.0,Nor Yungas,Coroico,12237.0,19397.0,27711.0,14271.0,13440.0,1007.7316228212624
1266,Gobierno Autónomo Municipal de Coripata,La Paz,municipal,GAM,27291772.0,Nor Yungas,Coripata,11444.0,16930.0,23530.0,12072.0,11458.0,1159.8713132171695
1267,Gobierno Autónomo Municipal de Ixiamas,La Paz,municipal,GAM,23227708.0,Abel Iturralde,Ixiamas,5625.0,9362.0,12595.0,7090.0,5505.0,1844.2007145692735
1268,Gobierno Autónomo Municipal de San Buenaventura,La Paz,municipal,GAM,10276537.0,Abel Iturralde,San Buenaventura,6203.0,8711.0,10105.0,5235.0,4870.0,1016.9754576942108
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,municipal,GAM,15766181.0,Bautista Saavedra,Charazani,9161.0,13023.0,15763.0,8338.0,7425.0,1000.2018016874961
1270,Gobierno Autónomo Municipal de Curva,La Paz,municipal,GAM,9161783.0,Bautista Saavedra,Curva,2213.0,3285.0,6611.0,3553.0,3058.0,1385.8392073816367
1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,La Paz,municipal,GAM,10385954.0,Gualberto Villarroel,San Pedro de Curahuara,8103.0,8858.0,9217.0,4896.0,4321.0,1126.8258652489965
1272,Gobierno Autónomo Municipal de Papel Pampa,La Paz,municipal,GAM,7269599.0,Gualberto Villarroel,Papel Pampa,6053.0,7003.0,6649.0,3558.0,3091.0,1093.3371935629418
1273,Gobierno Autónomo Municipal de Chacarilla,La Paz,municipal,GAM,2174255.0,Gualberto Villarroel,Chacarilla,1566.0,2004.0,2052.0,1090.0,962.0,1059.5784600389863
