DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017
Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,1984-11-30,1263,1991-09-30,-57.6849657212,-18.4262011227,Puerto Quijarro,67851638.09625907,11875.622848984896,23207.805288972595,11,5713.522478701729
Cochabamba,Capinota,Capinota,Capinota,1908-10-01,ML,1908-10-01,-66.2267897493,-17.7775537755,Capinota,76200314.93371661,23134.409506242802,20491.8894558958,4,3293.8085112202243
Cochabamba,Arque,Arque,Villa de Arque,1908-10-01,ML,1908-10-01,-66.4168229234,-17.8257790506,Arque,28857900.9449502,9318.975297004461,11378.653038835693,4,3096.681772965578
Oruro,Litoral,Yunguyo del Litoral,Yunguyo del Litoral,1960-09-06,350,1967-10-10,-68.3517137386,-18.8759101914,Yunguyo del Litoral,2186601.424789514,530.2556530687224,391.38811019284185,1,4123.673952620973
Oruro,Litoral,Huachacalla,Huachacalla,1960-09-06,CSL,1950-11-11,-68.2750595839,-18.7943828339,Huachacalla,4158547.3707847386,1008.4568805789313,744.3542193591711,2,4123.673952620973
Oruro,Litoral,Esmeralda,Esmeralda,1960-09-06,453,1968-11-20,-68.0881688091,-18.9457113011,Esmeralda,9137101.532269325,2861.1998042019086,2023.42425366104,6,3193.45105464174
Oruro,Abaroa,Santuario de Quillacas,Santuario de Quillacas,1903-10-16,ML,1962-01-12,-66.8133310274,-19.3194127464,Santuario de Quillacas,12368826.41424224,6397.135896770258,3226.8460127793587,5,1933.494397154659
Oruro,Ladislao Cabrera,Pampa Aullagas,Pampa Aullagas,1941-10-13,534,1983-02-16,-67.1651475482,-19.2314827169,Pampa Aullagas,5797267.308034824,3134.76684019514,2260.9672651418805,5,1849.3456143851333
Oruro,Sebastián Pagador,Santiago de Huari,Santiago de Huari,1984-04-01,625,1984-04-01,-66.5636782023,-19.164323072,Santiago de Huari,35342562.305715844,18121.79406874421,10663.504237174755,11,1950.2794354491298
Oruro,Poopó,Pazña,Pazña,1903-10-16,90,1961-01-06,-66.9129692281,-18.6134153228,Pazña,14207457.267984504,6973.374171704266,4516.048994408717,7,2037.3863381135986
Chuquisaca,Oropeza,Sucre,Sucre,1912-11-18,1669,1995-10-31,-65.2504826324,-18.9377064056,Sucre,785634778.2846336,299617.24239084625,219787.19455054708,7,2622.1280591715235
Chuquisaca,Yamparáez,Tarabuco,Tarabuco,1912-11-18,ML,1912-11-18,-64.9098102481,-19.1214800592,Tarabuco,39270010.35950403,20769.893491099574,15315.130863134036,7,1890.7179459698348
Chuquisaca,Yamparáez,Yamparáez,Yamparáez,1912-11-18,ML,1941-03-19,-65.0700314798,-19.2435381394,Yamparáez,24081505.476523813,10196.065310786938,8768.653394499692,4,2361.8429994800795
Chuquisaca,Oropeza,Yotala,Yotala,1912-11-18,1669,1995-10-31,-65.2648469799,-19.2250382885,Yotala,28293203.94944656,11158.104983676825,8135.032523415452,4,2535.663895512423
Potosí,Cornelio Saavedra,Tacobamba,Tacobamba,1925-11-06,ML,1948-12-08,-65.5540232184,-19.2132298173,Tacobamba,15288639.550144644,6984.346852747386,11514.503183267458,5,2188.98629642522
Potosí,Cornelio Saavedra,Betanzos,Villa de Betanzos,1925-11-06,ML,1925-11-06,-65.2276253499,-19.4582202275,Betanzos,73840938.18113284,35977.43890176854,29104.77443251494,9,2052.4234196532275
Chuquisaca,Zudáñez,Villa Ricardo Mugia - Icla,Icla,1917-12-05,ML,1948-11-22,-64.7463821267,-19.4653326388,Icla (R.Mujia),13148019.928053407,7452.8591760030495,6167.418102230979,4,1764.1578376239572
Oruro,Litoral,Cruz de Machacamarca,Cruz de Machacamarca,1960-09-06,508,1980-03-27,-68.3743890886,-18.7168138516,Cruz de Machacamarca,9782254.575223662,3008.4737077730883,1510.0047639586846,4,3251.5672481859965
Pando,Nicolás Suárez,Porvenir,Porvenir,1951-09-08,CSL,1938-09-24,-68.7936337665,-11.2383671199,Porvenir,27348228.570433497,11050.608843727729,4963.451018598327,6,2474.816451942032
La Paz,Inquisivi,Colquiri,Colquiri,1919-11-12,CSL,1945-11-03,-66.9940201888,-17.4222241977,Colquiri,35352511.46549639,16087.473648156256,20438.92753973593,6,2197.5179098147614
La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa,1856-03-29,1555,1994-04-26,-68.3470863071,-17.4008861531,Santiago de Callapa,13014596.433886725,6055.321843615669,5598.424839181695,7,2149.282361862971
