codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,ingresos_total,recursos_propios,recursos_especificos,recursos_especificos_gam_gaioc,otros_recursos_especificos,transferencias_tgn,coparticipacion,idh,regalias,otros_recursos,autonomia_fiscal_pct,autonomia_fiscal_aplica,autonomia_fiscal_base,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_pct,recursos_especificos_gam_gaioc_pct,otros_recursos_especificos_pct
"1117","Gobierno Autónomo Municipal de Tarabuco","Chuquisaca","municipal","GAM",15379769.0,497000.0,500741.0,497000.0,3694.0,14879028.0,11016610.0,3145290.0,47.0,717128.0,3.231518,True,"20/210 Recursos Específicos GAM/GAIOC",96.744158,71.63053,20.450827,0.000306,3.255842,3.231518,0.024019
"1105","Gobierno Autónomo Municipal de Tarvita (Villa Orías)","Chuquisaca","municipal","GAM",19365374.0,152643.0,174643.0,152643.0,22000.0,17624877.0,13692820.0,3909361.0,0.0,22696.0,0.788226,True,"20/210 Recursos Específicos GAM/GAIOC",91.012324,70.707749,20.187377,0.0,0.901831,0.788226,0.113605
"1111","Gobierno Autónomo Municipal de Tomina","Chuquisaca","municipal","GAM",9760722.0,568890.0,618890.0,568890.0,50000.0,8950039.0,6934536.0,1979840.0,0.0,35663.0,5.82836,True,"20/210 Recursos Específicos GAM/GAIOC",91.694436,71.045318,20.283745,0.0,6.340617,5.82836,0.512257
"1113","Gobierno Autónomo Municipal de Villa Alcalá","Chuquisaca","municipal","GAM",8101707.0,1220000.0,1220000.0,1220000.0,0.0,6881707.0,3119336.0,890584.0,0.0,2871787.0,15.058555,True,"20/210 Recursos Específicos GAM/GAIOC",84.941445,38.502207,10.992548,0.0,15.058555,15.058555,0.0
"1104","Gobierno Autónomo Municipal de Villa Azurduy","Chuquisaca","municipal","GAM",16184792.0,600000.0,600000.0,600000.0,0.0,15584792.0,6535474.0,1865906.0,0.0,7183412.0,3.707184,True,"20/210 Recursos Específicos GAM/GAIOC",96.292816,40.38034,11.528761,0.0,3.707184,3.707184,0.0
"1129","Gobierno Autónomo Municipal de Villa Charcas","Chuquisaca","municipal","GAM",17118963.0,1400000.0,1600000.0,1400000.0,200000.0,15518963.0,12176128.0,3305035.0,0.0,37800.0,8.178065,True,"20/210 Recursos Específicos GAM/GAIOC",90.653639,71.126551,19.30628,0.0,9.346361,8.178065,1.168295
"1108","Gobierno Autónomo Municipal de Villa Mojocoya","Chuquisaca","municipal","GAM",10515624.0,900000.0,900000.0,900000.0,0.0,9615624.0,7458306.0,2129380.0,0.0,27938.0,8.558693,True,"20/210 Recursos Específicos GAM/GAIOC",91.441307,70.925948,20.249678,0.0,8.558693,8.558693,0.0
"1122","Gobierno Autónomo Municipal de Villa Serrano","Chuquisaca","municipal","GAM",12924183.0,1000000.0,1000109.0,1000000.0,109.0,11924074.0,7449992.0,2127006.0,0.0,2347076.0,7.737433,True,"20/210 Recursos Específicos GAM/GAIOC",92.261724,57.643814,16.457566,0.0,7.738276,7.737433,0.000843
"1126","Gobierno Autónomo Municipal de Villa Vaca Guzmán","Chuquisaca","municipal","GAM",16368235.0,720000.0,921865.0,720000.0,201865.0,15446370.0,10970884.0,3132236.0,0.0,1343250.0,4.398764,True,"20/210 Recursos Específicos GAM/GAIOC",94.367963,67.025455,19.136064,0.0,5.632037,4.398764,1.233273
"1106","Gobierno Autónomo Municipal de Villa Zudañez (Tacopaya)","Chuquisaca","municipal","GAM",15894480.0,1739325.0,1797325.0,1739325.0,58000.0,14097155.0,11047712.0,3011418.0,0.0,38025.0,10.94295,True,"20/210 Recursos Específicos GAM/GAIOC",88.692143,69.506596,18.946313,0.0,11.307857,10.94295,0.364907
"1118","Gobierno Autónomo Municipal de Yamparáez","Chuquisaca","municipal","GAM",12312010.0,400000.0,430000.0,400000.0,30000.0,11882010.0,7597487.0,2026364.0,0.0,2258159.0,3.24886,True,"20/210 Recursos Específicos GAM/GAIOC",96.507475,61.707934,16.458434,0.0,3.492525,3.24886,0.243665
"1102","Gobierno Autónomo Municipal de Yotala","Chuquisaca","municipal","GAM",12144616.0,1976360.0,2033083.0,1976360.0,45366.0,9986196.0,7760140.0,2193468.0,11357.0,32588.0,16.273549,True,"20/210 Recursos Específicos GAM/GAIOC",82.227351,63.89778,18.061238,0.093515,16.740612,16.273549,0.373548
"903","Gobierno Autónomo Departamental de Cochabamba","Cochabamba","departamental","GAD",1100548991.0,None,176643281.0,0.0,92359593.0,884603220.0,10546440.0,51863372.0,84283688.0,822193408.0,None,False,"No calculado para entidades no GAM/GAIOC",80.378359,0.958289,4.7125,7.658331,16.05047,0.0,8.392138
"3301","Gobierno Autónomo Indígena Originario Campesino del Territorio de Raqaypampa","Cochabamba","indigena_originario_campesino","GAIOC",7759242.0,107700.0,344739.0,107700.0,1000.0,7414503.0,6656856.0,752434.0,236039.0,5213.0,1.388022,True,"20/210 Recursos Específicos GAM/GAIOC",95.557053,85.792607,9.697262,3.042037,4.442947,1.388022,0.012888
"1319","Gobierno Autónomo Municipal Villa Gualberto Villarroel","Cochabamba","municipal","GAM",4771498.0,160000.0,170000.0,160000.0,10000.0,4601498.0,3224207.0,358785.0,0.0,1018506.0,3.353245,True,"20/210 Recursos Específicos GAM/GAIOC",96.437178,67.572217,7.519337,0.0,3.562822,3.353245,0.209578
"1307","Gobierno Autónomo Municipal de Aiquile","Cochabamba","municipal","GAM",25748151.0,3800000.0,4401316.0,3800000.0,601316.0,21312801.0,19121729.0,2161355.0,0.0,29717.0,14.758341,True,"20/210 Recursos Específicos GAM/GAIOC",82.774103,74.264474,8.394214,0.0,17.093717,14.758341,2.335375
"1344","Gobierno Autónomo Municipal de Alalay","Cochabamba","municipal","GAM",3528141.0,50000.0,50000.0,50000.0,0.0,3478141.0,3127404.0,335237.0,0.0,15500.0,1.417177,True,"20/210 Recursos Específicos GAM/GAIOC",98.582823,88.641695,9.501803,0.0,1.417177,1.417177,0.0
"1321","Gobierno Autónomo Municipal de Anzaldo","Cochabamba","municipal","GAM",7446837.0,300000.0,650000.0,300000.0,350000.0,6796837.0,6087361.0,688063.0,0.0,21413.0,4.028556,True,"20/210 Recursos Específicos GAM/GAIOC",91.271462,81.744249,9.239668,0.0,8.728538,4.028556,4.699982
"1336","Gobierno Autónomo Municipal de Arani","Cochabamba","municipal","GAM",14051831.0,1500000.0,1500000.0,1500000.0,0.0,12480761.0,9836871.0,1072314.0,0.0,1571576.0,10.674765,True,"20/210 Recursos Específicos GAM/GAIOC",88.819464,70.004194,7.631134,0.0,10.674765,10.674765,0.0
"1322","Gobierno Autónomo Municipal de Arbieto","Cochabamba","municipal","GAM",35523205.0,2980000.0,3001141.0,2980000.0,20000.0,28192410.0,25318831.0,2861823.0,1141.0,11756.0,8.388883,True,"20/210 Recursos Específicos GAM/GAIOC",79.363363,71.274062,8.056207,0.003212,8.448396,8.388883,0.056301
"1338","Gobierno Autónomo Municipal de Arque","Cochabamba","municipal","GAM",13660801.0,331000.0,609491.0,331000.0,70000.0,13051310.0,8841721.0,999392.0,208491.0,3210197.0,2.422991,True,"20/210 Recursos Específicos GAM/GAIOC",95.538395,64.723298,7.315764,1.526199,4.461605,2.422991,0.512415
"1340","Gobierno Autónomo Municipal de Bolivar","Cochabamba","municipal","GAM",7855912.0,180000.0,242122.0,180000.0,3000.0,7610556.0,6839818.0,770288.0,59122.0,450.0,2.291268,True,"20/210 Recursos Específicos GAM/GAIOC",96.876798,87.065868,9.805201,0.75258,3.082036,2.291268,0.038188
"1327","Gobierno Autónomo Municipal de Capinota","Cochabamba","municipal","GAM",21527872.0,3063000.0,3498747.0,3063000.0,426195.0,18029125.0,16038142.0,1812814.0,9552.0,178169.0,14.228067,True,"20/210 Recursos Específicos GAM/GAIOC",83.747827,74.49943,8.420777,0.04437,16.252173,14.228067,1.979736
"1334","Gobierno Autónomo Municipal de Chimoré","Cochabamba","municipal","GAM",37932967.0,5008038.0,6050455.0,5008038.0,1042417.0,31582512.0,23258182.0,2572389.0,0.0,5751941.0,13.202337,True,"20/210 Recursos Específicos GAM/GAIOC",83.258744,61.313901,6.781407,0.0,15.950387,13.202337,2.74805
"1324","Gobierno Autónomo Municipal de Cliza","Cochabamba","municipal","GAM",36582558.0,10048000.0,10120000.0,10048000.0,72000.0,26462558.0,17756710.0,1961853.0,0.0,6743995.0,27.466641,True,"20/210 Recursos Específicos GAM/GAIOC",72.336544,48.538733,5.36281,0.0,27.663456,27.466641,0.196815
"1346","Gobierno Autónomo Municipal de Cocapata","Cochabamba","municipal","GAM",26506372.0,457156.0,7587303.0,457156.0,25929.0,18919069.0,17082205.0,1829353.0,7104218.0,7511.0,1.724702,True,"20/210 Recursos Específicos GAM/GAIOC",71.375551,64.445655,6.901559,26.801925,28.624449,1.724702,0.097822
"1301","Gobierno Autónomo Municipal de Cochabamba","Cochabamba","municipal","GAM",1632368430.0,880853555.0,887184608.0,880853555.0,6330751.0,668045349.0,579416754.0,64005295.0,302.0,24623300.0,53.961688,True,"20/210 Recursos Específicos GAM/GAIOC",40.924912,35.495464,3.921008,1.9e-05,54.349532,53.961688,0.387826
"1306","Gobierno Autónomo Municipal de Colcapirhua","Cochabamba","municipal","GAM",136788496.0,56500000.0,57101344.0,56500000.0,601344.0,72973639.0,62066421.0,6224236.0,0.0,4682982.0,41.304643,True,"20/210 Recursos Específicos GAM/GAIOC",53.34779,45.374006,4.550263,0.0,41.744259,41.304643,0.439616
"1313","Gobierno Autónomo Municipal de Colomi","Cochabamba","municipal","GAM",20489492.0,2575000.0,2600000.0,2575000.0,25000.0,17889492.0,16060589.0,1815351.0,0.0,13552.0,12.567417,True,"20/210 Recursos Específicos GAM/GAIOC",87.310569,78.384515,8.859912,0.0,12.689431,12.567417,0.122014
"1345","Gobierno Autónomo Municipal de Entre Rios","Cochabamba","municipal","GAM",59456897.0,10332540.0,11143261.0,10332540.0,810721.0,48265900.0,37919229.0,4519290.0,0.0,5827381.0,17.378203,True,"20/210 Recursos Específicos GAM/GAIOC",81.177967,63.775997,7.600952,0.0,18.741747,17.378203,1.363544
