status,departamento,municipio,match_key,pib_col,pib_value,old_pop_col,old_pop_value,pob_2012,pob_2024,pob_retro_2021,pibpc_retro_2021
ok,Cochabamba,Tacachi,cochabamba|tacachi,PIB_USD2017,4244920.910805219,POB_ESTIMADA,1706.493190204396,1303,1287,1290.981486071731,3288.134614325025
ok,Cochabamba,Villa Rivero,cochabamba|villa rivero,PIB_USD2017,22805254.54558273,POB_ESTIMADA,9157.560725817322,8135,8599,8480.576010295186,2689.1162248764444
ok,Cochabamba,Cliza,cochabamba|cliza,PIB_USD2017,66003019.23645288,POB_ESTIMADA,26503.832945034177,21899,21155,21338.596101991712,3093.1284757900385
ok,Cochabamba,Tacopaya,cochabamba|tacopaya,PIB_USD2017,20766779.129821,POB_ESTIMADA,10773.660052485526,10253,10750,10623.53584352304,1954.7897645097225
ok,Oruro,El Choro,oruro|el choro,PIB_USD2017,12153508.671341864,POB_ESTIMADA,5868.549741887114,8725,9997,9662.591688838313,1257.7897382729025
ok,Oruro,Toledo,oruro|toledo,PIB_USD2017,27633224.032155327,POB_ESTIMADA,11294.577036296316,10149,12202,11652.767426768622,2371.3872439156867
ok,Cochabamba,Santivañez,cochabamba|santivanez,PIB_USD2017,20693517.48207112,POB_ESTIMADA,6584.752330035002,6527,7940,7560.382705702227,2737.099203518303
ok,Oruro,Paria,oruro|paria,PIB_USD2017,34060360.28002704,POB_ESTIMADA,12935.798257132314,12846,15764,14977.585210722536,2274.088900234935
ok,La Paz,Chacarilla,la paz|chacarilla,PIB_USD2017,2762764.7517024474,POB_ESTIMADA,1443.3644373217055,2004,2052,2039.893276990796,1354.3673009099844
ok,Cochabamba,Tolata,cochabamba|tolata,PIB_USD2017,17356052.520032663,POB_ESTIMADA,5957.533501535972,5542,8687,7763.7044904063005,2235.537499074023
ok,Cochabamba,Arbieto,cochabamba|arbieto,PIB_USD2017,50539886.35848242,POB_ESTIMADA,15513.140901108423,17445,29375,25787.019573307505,1959.8963817748424
ok,La Paz,Papel Pampa,la paz|papel pampa,PIB_USD2017,16642810.465428274,POB_ESTIMADA,8603.416011358553,7003,6649,6735.786006024634,2470.8045134662207
ok,Pando,Cobija,pando|cobija,PIB_USD2017,201209584.4326979,POB_ESTIMADA,75359.1567695848,46267,55114,52755.07976196005,3814.032418121439
ok,La Paz,Calamarca,la paz|calamarca,PIB_USD2017,24766117.79127406,POB_ESTIMADA,10605.410357588142,12413,15327,14539.921335768953,1703.318554437302
ok,La Paz,Colquencha,la paz|colquencha,PIB_USD2017,18813755.47140517,POB_ESTIMADA,8252.087871510705,9879,12490,11778.773623247584,1597.259279546111
ok,La Paz,Combaya,la paz|combaya,PIB_USD2017,8460327.933556208,POB_ESTIMADA,3977.468246741315,3731,3529,3578.4508456432327,2364.243159538342
