departamento,municipio,codigo_entidad,poblacion_retro_2021,pib_estimado_usd2017_2021,pibpc_usd2017_2021,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct,nivel_pibpc,nivel_nbi,categoria_brecha,score_brecha_bienestar_producto,metodo
Cochabamba,Capinota,1327,19439.487954,65552408.38541485,3372.1262896220164,37.9,31.1,6.7,0.1,medio,bajo,Bienestar relativo con producto medio,44.9152,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Arque,1338,10623.239178,24825421.12240268,2336.897504385972,84.5,65.4,18.7,0.4,bajo,alto,Rezago estructural,57.2351,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Yunguyo del Litoral,1421,766.031837,1982172.2009017847,2587.584622426929,27.7,26.0,1.7,0.0,medio,bajo,Bienestar relativo con producto medio,29.2182,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Huachacalla,1418,2836.38206,3769757.442326828,1329.0725167605367,22.2,21.5,0.8,0.0,bajo,bajo,"Bajo producto, menor pobreza relativa",12.21,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Esmeralda,1422,3545.789784,8282857.794179285,2335.9697832471657,41.8,38.3,3.4,0.1,bajo,medio,"Bajo producto, menor pobreza relativa",33.7382,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Santuario de Quillacas,1405,4857.814816,11212443.016884403,2308.1248343021225,57.5,49.6,7.8,0.1,bajo,medio,"Bajo producto, menor pobreza relativa",42.0152,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Pampa Aullagas,1427,3139.465425,5255270.56230173,1673.9380280192431,58.4,51.9,6.4,0.1,bajo,medio,"Bajo producto, menor pobreza relativa",34.3563,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Santiago de Huari,1412,13446.9138,32038323.819245134,2382.5782104880136,55.6,44.4,11.0,0.2,bajo,medio,"Bajo producto, menor pobreza relativa",41.9274,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Pazña,1409,4624.755422,12879177.029169727,2784.8341923592093,43.2,39.0,4.1,0.1,medio,medio,Situación intermedia,40.2793,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Chuquisaca,Sucre,1101,287545.927126,858414576.1068636,2985.312936564193,16.2,14.4,1.7,0.0,medio,bajo,Bienestar relativo con producto medio,28.0069,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
