file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1347_Gobierno_Autónomo_Municipal_de_Shinahota_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1347_Gobierno_Autónomo_Municipal_de_Shinahota_categoria_programatica_grupo_gasto_total_gastos.pdf,1347,Gobierno Autónomo Municipal de Shinahota,84,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1401_Gobierno_Autónomo_Municipal_de_Oruro_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1401_Gobierno_Autónomo_Municipal_de_Oruro_categoria_programatica_grupo_gasto_total_gastos.pdf,1401,Gobierno Autónomo Municipal de Oruro,208,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1402_Gobierno_Autónomo_Municipal_de_Caracollo_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1402_Gobierno_Autónomo_Municipal_de_Caracollo_categoria_programatica_grupo_gasto_total_gastos.pdf,1402,Gobierno Autónomo Municipal de Caracollo,116,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1403_Gobierno_Autónomo_Municipal_de_El_Choro_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1403_Gobierno_Autónomo_Municipal_de_El_Choro_categoria_programatica_grupo_gasto_total_gastos.pdf,1403,Gobierno Autónomo Municipal de El Choro,94,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1404_Gobierno_Autónomo_Municipal_de_Challapata_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1404_Gobierno_Autónomo_Municipal_de_Challapata_categoria_programatica_grupo_gasto_total_gastos.pdf,1404,Gobierno Autónomo Municipal de Challapata,179,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1405_Gobierno_Autónomo_Municipal_de_Santuario_de_Quillacas_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1405_Gobierno_Autónomo_Municipal_de_Santuario_de_Quillacas_categoria_programatica_grupo_gasto_total_gastos.pdf,1405,Gobierno Autónomo Municipal de Santuario de Quillacas,66,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1406_Gobierno_Autónomo_Municipal_de_Huanuni_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1406_Gobierno_Autónomo_Municipal_de_Huanuni_categoria_programatica_grupo_gasto_total_gastos.pdf,1406,Gobierno Autónomo Municipal de Huanuni,125,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1407_Gobierno_Autónomo_Municipal_de_Machacamarca_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1407_Gobierno_Autónomo_Municipal_de_Machacamarca_categoria_programatica_grupo_gasto_total_gastos.pdf,1407,Gobierno Autónomo Municipal de Machacamarca,125,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1408_Gobierno_Autónomo_Municipal_de_Poopó_Villa_Poopó_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1408_Gobierno_Autónomo_Municipal_de_Poopó_Villa_Poopó_categoria_programatica_grupo_gasto_total_gastos.pdf,1408,Gobierno Autónomo Municipal de Poopó (Villa Poopó),102,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1409_Gobierno_Autónomo_Municipal_de_Pazña_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1409_Gobierno_Autónomo_Municipal_de_Pazña_categoria_programatica_grupo_gasto_total_gastos.pdf,1409,Gobierno Autónomo Municipal de Pazña,112,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1410_Gobierno_Autónomo_Municipal_de_Antequera_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1410_Gobierno_Autónomo_Municipal_de_Antequera_categoria_programatica_grupo_gasto_total_gastos.pdf,1410,Gobierno Autónomo Municipal de Antequera,114,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1411_Gobierno_Autónomo_Municipal_de_Eucaliptus_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1411_Gobierno_Autónomo_Municipal_de_Eucaliptus_categoria_programatica_grupo_gasto_total_gastos.pdf,1411,Gobierno Autónomo Municipal de Eucaliptus,95,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1412_Gobierno_Autónomo_Municipal_de_Santiago_de_Huari_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1412_Gobierno_Autónomo_Municipal_de_Santiago_de_Huari_categoria_programatica_grupo_gasto_total_gastos.pdf,1412,Gobierno Autónomo Municipal de Santiago de Huari,20,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1413_Gobierno_Autónomo_Municipal_de_Totora_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1413_Gobierno_Autónomo_Municipal_de_Totora_categoria_programatica_grupo_gasto_total_gastos.pdf,1413,Gobierno Autónomo Municipal de Totora,100,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1414_Gobierno_Autónomo_Municipal_de_Corque_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1414_Gobierno_Autónomo_Municipal_de_Corque_categoria_programatica_grupo_gasto_total_gastos.pdf,1414,Gobierno Autónomo Municipal de Corque,132,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1415_Gobierno_Autónomo_Municipal_de_Choquecota_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1415_Gobierno_Autónomo_Municipal_de_Choquecota_categoria_programatica_grupo_gasto_total_gastos.pdf,1415,Gobierno Autónomo Municipal de Choquecota,97,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1416_Gobierno_Autónomo_Municipal_de_Curahuara_de_Carangas_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1416_Gobierno_Autónomo_Municipal_de_Curahuara_de_Carangas_categoria_programatica_grupo_gasto_total_gastos.pdf,1416,Gobierno Autónomo Municipal de Curahuara de Carangas,108,True,ok,
data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1417_Gobierno_Autónomo_Municipal_de_Turco_categoria_programatica_grupo_gasto_total_gastos.pdf,2026_1417_Gobierno_Autónomo_Municipal_de_Turco_categoria_programatica_grupo_gasto_total_gastos.pdf,1417,Gobierno Autónomo Municipal de Turco,84,True,ok,
