gestion,codigo_entidad,nombre_entidad,total_general_ingresos,file
2026,1252,Gobierno Autónomo Municipal de Sapahaqui,20042207,data\raw\sigep_2026\recursos_por_rubro\2026_1252_Gobierno_Autónomo_Municipal_de_Sapahaqui_recursos_por_rubro.pdf
2026,1253,Gobierno Autónomo Municipal de Yaco,15412548,data\raw\sigep_2026\recursos_por_rubro\2026_1253_Gobierno_Autónomo_Municipal_de_Yaco_recursos_por_rubro.pdf
2026,1254,Gobierno Autónomo Municipal de Malla,7739622,data\raw\sigep_2026\recursos_por_rubro\2026_1254_Gobierno_Autónomo_Municipal_de_Malla_recursos_por_rubro.pdf
2026,1255,Gobierno Autónomo Municipal de Cairoma,15730198,data\raw\sigep_2026\recursos_por_rubro\2026_1255_Gobierno_Autónomo_Municipal_de_Cairoma_recursos_por_rubro.pdf
2026,1256,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),29064222,data\raw\sigep_2026\recursos_por_rubro\2026_1256_Gobierno_Autónomo_Municipal_de_Chulumani_Villa_de_la_Libertad_recursos_por_rubro.pdf
2026,1257,Gobierno Autónomo Municipal de Irupana (Villa de Lanza),26478359,data\raw\sigep_2026\recursos_por_rubro\2026_1257_Gobierno_Autónomo_Municipal_de_Irupana_Villa_de_Lanza_recursos_por_rubro.pdf
2026,1258,Gobierno Autónomo Municipal de Yanacachi,8132544,data\raw\sigep_2026\recursos_por_rubro\2026_1258_Gobierno_Autónomo_Municipal_de_Yanacachi_recursos_por_rubro.pdf
2026,1259,Gobierno Autónomo Municipal de Palos Blancos,47454535,data\raw\sigep_2026\recursos_por_rubro\2026_1259_Gobierno_Autónomo_Municipal_de_Palos_Blancos_recursos_por_rubro.pdf
2026,1260,Gobierno Autónomo Municipal de La Asunta,58639357,data\raw\sigep_2026\recursos_por_rubro\2026_1260_Gobierno_Autónomo_Municipal_de_La_Asunta_recursos_por_rubro.pdf
2026,1261,Gobierno Autónomo Municipal de Pucarani,65742628,data\raw\sigep_2026\recursos_por_rubro\2026_1261_Gobierno_Autónomo_Municipal_de_Pucarani_recursos_por_rubro.pdf
2026,1262,Gobierno Autónomo Municipal de Laja,52102316,data\raw\sigep_2026\recursos_por_rubro\2026_1262_Gobierno_Autónomo_Municipal_de_Laja_recursos_por_rubro.pdf
2026,1263,Gobierno Autónomo Municipal de Batallas,30560704,data\raw\sigep_2026\recursos_por_rubro\2026_1263_Gobierno_Autónomo_Municipal_de_Batallas_recursos_por_rubro.pdf
2026,1264,Gobierno Autónomo Municipal de Puerto Pérez,7948356,data\raw\sigep_2026\recursos_por_rubro\2026_1264_Gobierno_Autónomo_Municipal_de_Puerto_Pérez_recursos_por_rubro.pdf
2026,1265,Gobierno Autónomo Municipal de Coroico,27925251,data\raw\sigep_2026\recursos_por_rubro\2026_1265_Gobierno_Autónomo_Municipal_de_Coroico_recursos_por_rubro.pdf
2026,1266,Gobierno Autónomo Municipal de Coripata,27291772,data\raw\sigep_2026\recursos_por_rubro\2026_1266_Gobierno_Autónomo_Municipal_de_Coripata_recursos_por_rubro.pdf
2026,1267,Gobierno Autónomo Municipal de Ixiamas,23227708,data\raw\sigep_2026\recursos_por_rubro\2026_1267_Gobierno_Autónomo_Municipal_de_Ixiamas_recursos_por_rubro.pdf
2026,1268,Gobierno Autónomo Municipal de San Buenaventura,10276537,data\raw\sigep_2026\recursos_por_rubro\2026_1268_Gobierno_Autónomo_Municipal_de_San_Buenaventura_recursos_por_rubro.pdf
2026,1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),15766181,data\raw\sigep_2026\recursos_por_rubro\2026_1269_Gobierno_Autónomo_Municipal_de_General_Juan_José_Pérez_Charazani_recursos_por_rubro.pdf
2026,1270,Gobierno Autónomo Municipal de Curva,9161783,data\raw\sigep_2026\recursos_por_rubro\2026_1270_Gobierno_Autónomo_Municipal_de_Curva_recursos_por_rubro.pdf
2026,1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,10385954,data\raw\sigep_2026\recursos_por_rubro\2026_1271_Gobierno_Autónomo_Municipal_de_San_Pedro_de_Curahuara_recursos_por_rubro.pdf
2026,1272,Gobierno Autónomo Municipal de Papel Pampa,7269599,data\raw\sigep_2026\recursos_por_rubro\2026_1272_Gobierno_Autónomo_Municipal_de_Papel_Pampa_recursos_por_rubro.pdf
2026,1273,Gobierno Autónomo Municipal de Chacarilla,2174255,data\raw\sigep_2026\recursos_por_rubro\2026_1273_Gobierno_Autónomo_Municipal_de_Chacarilla_recursos_por_rubro.pdf
2026,1274,Gobierno Autónomo Municipal de Santiago de Machaca,11705478,data\raw\sigep_2026\recursos_por_rubro\2026_1274_Gobierno_Autónomo_Municipal_de_Santiago_de_Machaca_recursos_por_rubro.pdf
2026,1275,Gobierno Autónomo Municipal de Catacora,4890386,data\raw\sigep_2026\recursos_por_rubro\2026_1275_Gobierno_Autónomo_Municipal_de_Catacora_recursos_por_rubro.pdf
2026,1276,Gobierno Autónomo Municipal de Mapiri,25040043,data\raw\sigep_2026\recursos_por_rubro\2026_1276_Gobierno_Autónomo_Municipal_de_Mapiri_recursos_por_rubro.pdf
2026,1277,Gobierno Autónomo Municipal de Teoponte,40897486,data\raw\sigep_2026\recursos_por_rubro\2026_1277_Gobierno_Autónomo_Municipal_de_Teoponte_recursos_por_rubro.pdf
