gestion,codigo_entidad,nombre_entidad,rubro,rubro_padre,nivel_rubro,descripcion,entidad_otorgante,fuente,organismo,importe,es_detalle,es_resumen,file
2026,1102,Gobierno Autónomo Municipal de Yotala,14,,1,REGALIAS,,,,11357,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,14.1,14,2,Regalías Mineras,0999,20,220,11357,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15,,1,"TASAS, DERECHOS Y OTROS INGRESOS",,,,366360,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.1,15,2,Tasas,0000,20,210,100000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.3,15,2,Patentes y Concesiones,,,,60000,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.3.4,15.3,3,Patentes Municipales,0000,20,210,30000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.3.5,15.3,3,Otras Patentes y Concesiones,0000,20,210,30000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.9,15,2,Otros Ingresos,,,,206360,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,15.9.9,15.9,3,Otros Ingresos no Especificados,0999,20,210,206360,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,16,,1,INTERESES Y OTRAS RENTAS DE LA PROPIEDAD,,,,220000,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,16.3,16,2,"Alquiler de Edificios, Tierras y Terrenos",0000,20,210,120000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,16.5,16,2,Alquiler de Equipos de las Administraciones Públicas,0000,20,210,100000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,19,,1,TRANSFERENCIAS CORRIENTES,,,,9908834,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,19.2,19,2,Del Sector Público No Financiero,,,,9908834,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,19.2.1,19.2,3,Del Órgano Ejecutivo,,,,9908834,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,19.2.1.1,19.2.1,4,Por Subsidios o Subvenciones,0099,41,111,32588,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,19.2.1.1,19.2.1,4,Por Subsidios o Subvenciones,0099,41,119,1495945,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,19.2.1.2,19.2.1,4,Por Coparticipación Tributaria,0099,41,113,7682778,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,19.2.1.2,19.2.1,4,Por Coparticipación Tributaria,0099,41,119,697523,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,23,,1,TRANSFERENCIAS DE CAPITAL,,,,52852,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,23.2,23,2,Del Sector Público No Financiero,,,,52852,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,23.2.2,23.2,3,"DE LOS ORGANOS LEGISLATIVO, JUDICIAL Y ELECTORAL, ENTIDADES DE CONTROL Y DEFENSA, DESCENTRALIZADAS Y UNIVER.",0287,43,413,52852,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,35,,1,DISMINUCIÓN Y COBRO DE OTROS ACTIVOS FINANCIEROS,,,,149847,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,35.1,35,2,Disminución del Activo Disponible,,,,149847,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,35.1.1,35.1,3,Disminución de Caja y Bancos,0000,41,113,77362,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1102,Gobierno Autónomo Municipal de Yotala,35.1.1,35.1,3,Disminución de Caja y Bancos,0000,42,230,72485,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1102_Gobierno_Autónomo_Municipal_de_Yotala_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,13,,1,INGRESOS POR IMPUESTOS,,,,8500,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,13.3,13,2,Impuestos Municipales,,,,8500,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,13.3.1,13.3,3,Impuesto a la Propiedad de Bienes Inmuebles,0999,20,210,7000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
