file,filename,codigo_entidad,nombre_entidad,filas,tiene_total_general,status,error
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1310_Gobierno_Autónomo_Municipal_de_Independencia_objeto_gasto_fuente_total_gastos.pdf,2026_1310_Gobierno_Autónomo_Municipal_de_Independencia_objeto_gasto_fuente_total_gastos.pdf,1310,Gobierno Autónomo Municipal de Independencia,110,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1311_Gobierno_Autónomo_Municipal_de_Morochata_objeto_gasto_fuente_total_gastos.pdf,2026_1311_Gobierno_Autónomo_Municipal_de_Morochata_objeto_gasto_fuente_total_gastos.pdf,1311,Gobierno Autónomo Municipal de Morochata,108,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1312_Gobierno_Autónomo_Municipal_de_Sacaba_objeto_gasto_fuente_total_gastos.pdf,2026_1312_Gobierno_Autónomo_Municipal_de_Sacaba_objeto_gasto_fuente_total_gastos.pdf,1312,Gobierno Autónomo Municipal de Sacaba,150,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1313_Gobierno_Autónomo_Municipal_de_Colomi_objeto_gasto_fuente_total_gastos.pdf,2026_1313_Gobierno_Autónomo_Municipal_de_Colomi_objeto_gasto_fuente_total_gastos.pdf,1313,Gobierno Autónomo Municipal de Colomi,117,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1314_Gobierno_Autónomo_Municipal_de_Villa_Tunari_objeto_gasto_fuente_total_gastos.pdf,2026_1314_Gobierno_Autónomo_Municipal_de_Villa_Tunari_objeto_gasto_fuente_total_gastos.pdf,1314,Gobierno Autónomo Municipal de Villa Tunari,127,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1315_Gobierno_Autónomo_Municipal_de_Punata_objeto_gasto_fuente_total_gastos.pdf,2026_1315_Gobierno_Autónomo_Municipal_de_Punata_objeto_gasto_fuente_total_gastos.pdf,1315,Gobierno Autónomo Municipal de Punata,126,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1316_Gobierno_Autónomo_Municipal_de_Villa_Rivero_objeto_gasto_fuente_total_gastos.pdf,2026_1316_Gobierno_Autónomo_Municipal_de_Villa_Rivero_objeto_gasto_fuente_total_gastos.pdf,1316,Gobierno Autónomo Municipal de Villa Rivero,102,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1317_Gobierno_Autónomo_Municipal_de_San_Benito_Villa_José_Quintín_Mendoza_objeto_gasto_fuente_total_gastos.pdf,2026_1317_Gobierno_Autónomo_Municipal_de_San_Benito_Villa_José_Quintín_Mendoza_objeto_gasto_fuente_total_gastos.pdf,1317,Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza),104,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1318_Gobierno_Autónomo_Municipal_de_Tacachi_objeto_gasto_fuente_total_gastos.pdf,2026_1318_Gobierno_Autónomo_Municipal_de_Tacachi_objeto_gasto_fuente_total_gastos.pdf,1318,Gobierno Autónomo Municipal de Tacachi,74,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1319_Gobierno_Autónomo_Municipal_Villa_Gualberto_Villarroel_objeto_gasto_fuente_total_gastos.pdf,2026_1319_Gobierno_Autónomo_Municipal_Villa_Gualberto_Villarroel_objeto_gasto_fuente_total_gastos.pdf,1319,Gobierno Autónomo Municipal Villa Gualberto Villarroel,88,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1320_Gobierno_Autónomo_Municipal_de_Tarata_objeto_gasto_fuente_total_gastos.pdf,2026_1320_Gobierno_Autónomo_Municipal_de_Tarata_objeto_gasto_fuente_total_gastos.pdf,1320,Gobierno Autónomo Municipal de Tarata,113,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1321_Gobierno_Autónomo_Municipal_de_Anzaldo_objeto_gasto_fuente_total_gastos.pdf,2026_1321_Gobierno_Autónomo_Municipal_de_Anzaldo_objeto_gasto_fuente_total_gastos.pdf,1321,Gobierno Autónomo Municipal de Anzaldo,26,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1322_Gobierno_Autónomo_Municipal_de_Arbieto_objeto_gasto_fuente_total_gastos.pdf,2026_1322_Gobierno_Autónomo_Municipal_de_Arbieto_objeto_gasto_fuente_total_gastos.pdf,1322,Gobierno Autónomo Municipal de Arbieto,106,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1323_Gobierno_Autónomo_Municipal_de_Sacabamba_objeto_gasto_fuente_total_gastos.pdf,2026_1323_Gobierno_Autónomo_Municipal_de_Sacabamba_objeto_gasto_fuente_total_gastos.pdf,1323,Gobierno Autónomo Municipal de Sacabamba,89,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1324_Gobierno_Autónomo_Municipal_de_Cliza_objeto_gasto_fuente_total_gastos.pdf,2026_1324_Gobierno_Autónomo_Municipal_de_Cliza_objeto_gasto_fuente_total_gastos.pdf,1324,Gobierno Autónomo Municipal de Cliza,125,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1325_Gobierno_Autónomo_Municipal_de_Toco_objeto_gasto_fuente_total_gastos.pdf,2026_1325_Gobierno_Autónomo_Municipal_de_Toco_objeto_gasto_fuente_total_gastos.pdf,1325,Gobierno Autónomo Municipal de Toco,52,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1326_Gobierno_Autónomo_Municipal_de_Tolata_objeto_gasto_fuente_total_gastos.pdf,2026_1326_Gobierno_Autónomo_Municipal_de_Tolata_objeto_gasto_fuente_total_gastos.pdf,1326,Gobierno Autónomo Municipal de Tolata,103,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1327_Gobierno_Autónomo_Municipal_de_Capinota_objeto_gasto_fuente_total_gastos.pdf,2026_1327_Gobierno_Autónomo_Municipal_de_Capinota_objeto_gasto_fuente_total_gastos.pdf,1327,Gobierno Autónomo Municipal de Capinota,28,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1328_Gobierno_Autónomo_Municipal_de_Santivañez_objeto_gasto_fuente_total_gastos.pdf,2026_1328_Gobierno_Autónomo_Municipal_de_Santivañez_objeto_gasto_fuente_total_gastos.pdf,1328,Gobierno Autónomo Municipal de Santivañez,107,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1329_Gobierno_Autónomo_Municipal_de_Sicaya_objeto_gasto_fuente_total_gastos.pdf,2026_1329_Gobierno_Autónomo_Municipal_de_Sicaya_objeto_gasto_fuente_total_gastos.pdf,1329,Gobierno Autónomo Municipal de Sicaya,94,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1330_Gobierno_Autónomo_Municipal_de_Tapacari_objeto_gasto_fuente_total_gastos.pdf,2026_1330_Gobierno_Autónomo_Municipal_de_Tapacari_objeto_gasto_fuente_total_gastos.pdf,1330,Gobierno Autónomo Municipal de Tapacari,24,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1331_Gobierno_Autónomo_Municipal_de_Totora_objeto_gasto_fuente_total_gastos.pdf,2026_1331_Gobierno_Autónomo_Municipal_de_Totora_objeto_gasto_fuente_total_gastos.pdf,1331,Gobierno Autónomo Municipal de Totora,106,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1332_Gobierno_Autónomo_Municipal_de_Pojo_objeto_gasto_fuente_total_gastos.pdf,2026_1332_Gobierno_Autónomo_Municipal_de_Pojo_objeto_gasto_fuente_total_gastos.pdf,1332,Gobierno Autónomo Municipal de Pojo,105,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1333_Gobierno_Autónomo_Municipal_de_Pocona_objeto_gasto_fuente_total_gastos.pdf,2026_1333_Gobierno_Autónomo_Municipal_de_Pocona_objeto_gasto_fuente_total_gastos.pdf,1333,Gobierno Autónomo Municipal de Pocona,106,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1334_Gobierno_Autónomo_Municipal_de_Chimoré_objeto_gasto_fuente_total_gastos.pdf,2026_1334_Gobierno_Autónomo_Municipal_de_Chimoré_objeto_gasto_fuente_total_gastos.pdf,1334,Gobierno Autónomo Municipal de Chimoré,111,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1335_Gobierno_Autónomo_Municipal_de_Puerto_Villarroel_objeto_gasto_fuente_total_gastos.pdf,2026_1335_Gobierno_Autónomo_Municipal_de_Puerto_Villarroel_objeto_gasto_fuente_total_gastos.pdf,1335,Gobierno Autónomo Municipal de Puerto Villarroel,131,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1336_Gobierno_Autónomo_Municipal_de_Arani_objeto_gasto_fuente_total_gastos.pdf,2026_1336_Gobierno_Autónomo_Municipal_de_Arani_objeto_gasto_fuente_total_gastos.pdf,1336,Gobierno Autónomo Municipal de Arani,101,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1337_Gobierno_Autónomo_Municipal_de_Vacas_objeto_gasto_fuente_total_gastos.pdf,2026_1337_Gobierno_Autónomo_Municipal_de_Vacas_objeto_gasto_fuente_total_gastos.pdf,1337,Gobierno Autónomo Municipal de Vacas,112,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1338_Gobierno_Autónomo_Municipal_de_Arque_objeto_gasto_fuente_total_gastos.pdf,2026_1338_Gobierno_Autónomo_Municipal_de_Arque_objeto_gasto_fuente_total_gastos.pdf,1338,Gobierno Autónomo Municipal de Arque,99,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1339_Gobierno_Autónomo_Municipal_de_Tacopaya_objeto_gasto_fuente_total_gastos.pdf,2026_1339_Gobierno_Autónomo_Municipal_de_Tacopaya_objeto_gasto_fuente_total_gastos.pdf,1339,Gobierno Autónomo Municipal de Tacopaya,98,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1340_Gobierno_Autónomo_Municipal_de_Bolivar_objeto_gasto_fuente_total_gastos.pdf,2026_1340_Gobierno_Autónomo_Municipal_de_Bolivar_objeto_gasto_fuente_total_gastos.pdf,1340,Gobierno Autónomo Municipal de Bolivar,113,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1341_Gobierno_Autónomo_Municipal_de_Tiraque_objeto_gasto_fuente_total_gastos.pdf,2026_1341_Gobierno_Autónomo_Municipal_de_Tiraque_objeto_gasto_fuente_total_gastos.pdf,1341,Gobierno Autónomo Municipal de Tiraque,103,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1342_Gobierno_Autónomo_Municipal_de_Mizque_objeto_gasto_fuente_total_gastos.pdf,2026_1342_Gobierno_Autónomo_Municipal_de_Mizque_objeto_gasto_fuente_total_gastos.pdf,1342,Gobierno Autónomo Municipal de Mizque,111,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1343_Gobierno_Autónomo_Municipal_de_Vila_Vila_objeto_gasto_fuente_total_gastos.pdf,2026_1343_Gobierno_Autónomo_Municipal_de_Vila_Vila_objeto_gasto_fuente_total_gastos.pdf,1343,Gobierno Autónomo Municipal de Vila Vila,86,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1344_Gobierno_Autónomo_Municipal_de_Alalay_objeto_gasto_fuente_total_gastos.pdf,2026_1344_Gobierno_Autónomo_Municipal_de_Alalay_objeto_gasto_fuente_total_gastos.pdf,1344,Gobierno Autónomo Municipal de Alalay,87,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1345_Gobierno_Autónomo_Municipal_de_Entre_Rios_objeto_gasto_fuente_total_gastos.pdf,2026_1345_Gobierno_Autónomo_Municipal_de_Entre_Rios_objeto_gasto_fuente_total_gastos.pdf,1345,Gobierno Autónomo Municipal de Entre Rios,117,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1346_Gobierno_Autónomo_Municipal_de_Cocapata_objeto_gasto_fuente_total_gastos.pdf,2026_1346_Gobierno_Autónomo_Municipal_de_Cocapata_objeto_gasto_fuente_total_gastos.pdf,1346,Gobierno Autónomo Municipal de Cocapata,111,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1347_Gobierno_Autónomo_Municipal_de_Shinahota_objeto_gasto_fuente_total_gastos.pdf,2026_1347_Gobierno_Autónomo_Municipal_de_Shinahota_objeto_gasto_fuente_total_gastos.pdf,1347,Gobierno Autónomo Municipal de Shinahota,111,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1401_Gobierno_Autónomo_Municipal_de_Oruro_objeto_gasto_fuente_total_gastos.pdf,2026_1401_Gobierno_Autónomo_Municipal_de_Oruro_objeto_gasto_fuente_total_gastos.pdf,1401,Gobierno Autónomo Municipal de Oruro,156,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1402_Gobierno_Autónomo_Municipal_de_Caracollo_objeto_gasto_fuente_total_gastos.pdf,2026_1402_Gobierno_Autónomo_Municipal_de_Caracollo_objeto_gasto_fuente_total_gastos.pdf,1402,Gobierno Autónomo Municipal de Caracollo,113,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1403_Gobierno_Autónomo_Municipal_de_El_Choro_objeto_gasto_fuente_total_gastos.pdf,2026_1403_Gobierno_Autónomo_Municipal_de_El_Choro_objeto_gasto_fuente_total_gastos.pdf,1403,Gobierno Autónomo Municipal de El Choro,83,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1404_Gobierno_Autónomo_Municipal_de_Challapata_objeto_gasto_fuente_total_gastos.pdf,2026_1404_Gobierno_Autónomo_Municipal_de_Challapata_objeto_gasto_fuente_total_gastos.pdf,1404,Gobierno Autónomo Municipal de Challapata,119,True,ok,
data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1405_Gobierno_Autónomo_Municipal_de_Santuario_de_Quillacas_objeto_gasto_fuente_total_gastos.pdf,2026_1405_Gobierno_Autónomo_Municipal_de_Santuario_de_Quillacas_objeto_gasto_fuente_total_gastos.pdf,1405,Gobierno Autónomo Municipal de Santuario de Quillacas,93,True,ok,
