codigo_entidad,nombre_entidad,grupo_1_detalle,grupo_2_detalle,grupo_3_detalle,grupo_4_detalle,grupo_5_detalle,grupo_6_detalle,grupo_7_detalle,grupo_8_detalle,grupo_9_detalle,total_detalle,grupo_1_pdf,grupo_2_pdf,grupo_3_pdf,grupo_4_pdf,grupo_5_pdf,grupo_6_pdf,grupo_7_pdf,grupo_8_pdf,grupo_9_pdf,total_pdf,grupo_1_diff,grupo_2_diff,grupo_3_diff,grupo_4_diff,grupo_5_diff,grupo_6_diff,grupo_7_diff,grupo_8_diff,grupo_9_diff,total_diff
1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,1119747,1683811,2353884,50000,0,21254,251296,0,1995595,7475587,1119747,1683811,2353884,50000,0,21254,251296,0,1995595,7475587,0,0,0,0,0,0,0,0,0,0
1224,Gobierno Autónomo Municipal de Achacachi,0,2711976,3452148,135564,0,0,1499614,0,37268665,45067967,0,2711976,3452148,135564,0,0,1499614,0,37268665,45067967,0,0,0,0,0,0,0,0,0,0
1225,Gobierno Autónomo Municipal de Ancoraimes,2828592,2182299,45324,5260427,0,0,430235,0,11718008,22464885,2828592,2182299,45324,5260427,0,0,430235,0,11718008,22464885,0,0,0,0,0,0,0,0,0,0
1226,Gobierno Autónomo Municipal de Sorata,6803521,6447719,9580466,3616161,7295712,3918049,804101,0,0,38465729,6803521,6447719,9580466,3616161,7295712,3918049,804101,0,0,38465729,0,0,0,0,0,0,0,0,0,0
1227,Gobierno Autónomo Municipal de Guanay,0,2115288,21606,87642,0,0,589482,0,17796073,20610091,0,2115288,21606,87642,0,0,589482,0,17796073,20610091,0,0,0,0,0,0,0,0,0,0
1228,Gobierno Autónomo Municipal de Tacacoma,776537,5060613,2155428,274202,0,0,299153,0,2066383,10632316,776537,5060613,2155428,274202,0,0,299153,0,2066383,10632316,0,0,0,0,0,0,0,0,0,0
1229,Gobierno Autónomo Municipal de Tipuani,1364907,986410,10712,1596278,0,0,266145,0,9150026,13374478,1364907,986410,10712,1596278,0,0,266145,0,9150026,13374478,0,0,0,0,0,0,0,0,0,0
1230,Gobierno Autónomo Municipal de Quiabaya,634751,1042848,1987071,55000,0,0,125114,0,436643,4281427,634751,1042848,1987071,55000,0,0,125114,0,436643,4281427,0,0,0,0,0,0,0,0,0,0
1231,Gobierno Autónomo Municipal de Combaya,653076,477263,113499,0,0,0,94239,0,2140912,3478989,653076,477263,113499,0,0,0,94239,0,2140912,3478989,0,0,0,0,0,0,0,0,0,0
1232,Gobierno Autónomo Municipal de Copacabana,3098559,5679311,5035658,715870,0,0,463809,0,4258635,19251842,3098559,5679311,5035658,715870,0,0,463809,0,4258635,19251842,0,0,0,0,0,0,0,0,0,0
1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,1199987,2043823,2754184,112000,0,1000000,220227,0,1230102,8560323,1199987,2043823,2754184,112000,0,1000000,220227,0,1230102,8560323,0,0,0,0,0,0,0,0,0,0
1234,Gobierno Autónomo Municipal de Tito Yupanqui,1297002,1887360,2421597,1142605,0,40000,161898,0,222,6950684,1297002,1887360,2421597,1142605,0,40000,161898,0,222,6950684,0,0,0,0,0,0,0,0,0,0
1235,Gobierno Autónomo Municipal de Chuma,2574849,2736650,4531247,695000,0,48000,502773,0,5349000,16437519,2574849,2736650,4531247,695000,0,48000,502773,0,5349000,16437519,0,0,0,0,0,0,0,0,0,0
1236,Gobierno Autónomo Municipal de Ayata,1890213,3305181,1596921,1162471,0,0,301923,0,1253284,9509993,1890213,3305181,1596921,1162471,0,0,301923,0,1253284,9509993,0,0,0,0,0,0,0,0,0,0
1237,Gobierno Autónomo Municipal de Aucapata,1052431,1400049,2345972,105000,0,278017,211741,450,1050000,6443660,1052431,1400049,2345972,105000,0,278017,211741,450,1050000,6443660,0,0,0,0,0,0,0,0,0,0
1238,Gobierno Autónomo Municipal de Corocoro,3092673,3948174,3049063,2231329,2777789,0,385694,0,0,15484722,3092673,3948174,3049063,2231329,2777789,0,385694,0,0,15484722,0,0,0,0,0,0,0,0,0,0
1239,Gobierno Autónomo Municipal de Caquiaviri,2301417,1953071,5015772,0,0,0,355022,0,4608457,14233739,2301417,1953071,5015772,0,0,0,355022,0,4608457,14233739,0,0,0,0,0,0,0,0,0,0
1240,Gobierno Autónomo Municipal de Calacoto,1721548,3839471,2701820,110000,0,0,232700,0,2651674,11257213,1721548,3839471,2701820,110000,0,0,232700,0,2651674,11257213,0,0,0,0,0,0,0,0,0,0
1241,Gobierno Autónomo Municipal de Comanche,550180,1235048,1089088,556758,1122947,656683,139071,0,0,5349775,550180,1235048,1089088,556758,1122947,656683,139071,0,0,5349775,0,0,0,0,0,0,0,0,0,0
1242,Gobierno Autónomo Municipal de Charaña,557620,1668533,1430947,1144661,0,85414,93410,0,120000,5100585,557620,1668533,1430947,1144661,0,85414,93410,0,120000,5100585,0,0,0,0,0,0,0,0,0,0
1243,Gobierno Autónomo Municipal de Waldo Ballivián,945491,1983205,1560188,135000,0,234937,133129,0,1371991,6363941,945491,1983205,1560188,135000,0,234937,133129,0,1371991,6363941,0,0,0,0,0,0,0,0,0,0
