gestion,codigo_entidad,nombre_entidad,objeto_gasto,objeto_padre,nivel_objeto,descripcion,entidad_transferencia,file,fuente_columna,monto
2026,1120,Gobierno Autónomo Municipal de San Lucas,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,14285715
2026,1120,Gobierno Autónomo Municipal de San Lucas,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,714285
2026,1120,Gobierno Autónomo Municipal de San Lucas,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,28901
2026,1121,Gobierno Autónomo Municipal de Incahuasi,2.5.2.30,2.5.2,4,AUDITORÍAS EXTERNAS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,34772
2026,1121,Gobierno Autónomo Municipal de Incahuasi,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,2318211
2026,1121,Gobierno Autónomo Municipal de Incahuasi,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,115911
2026,1121,Gobierno Autónomo Municipal de Incahuasi,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,16328
2026,1122,Gobierno Autónomo Municipal de Villa Serrano,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1122_Gobierno_Autónomo_Municipal_de_Villa_Serrano_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,2285951
2026,1122,Gobierno Autónomo Municipal de Villa Serrano,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1122_Gobierno_Autónomo_Municipal_de_Villa_Serrano_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,61125
2026,1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1123_Gobierno_Autónomo_Municipal_de_Camataqui_Villa_Abecia_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,12563
2026,1124,Gobierno Autónomo Municipal de Culpina,2.5.2.30,2.5.2,4,AUDITORÍAS EXTERNAS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,62707
2026,1124,Gobierno Autónomo Municipal de Culpina,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,3538512
2026,1124,Gobierno Autónomo Municipal de Culpina,4.2.3.10,4.2.3,4,Construcciones y Mejoras de Bienes de Dominio Público,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,483692
2026,1124,Gobierno Autónomo Municipal de Culpina,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,47888
2026,1125,Gobierno Autónomo Municipal de Las Carreras,2.5.2.30,2.5.2,4,AUDITORÍAS EXTERNAS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,45162
2026,1125,Gobierno Autónomo Municipal de Las Carreras,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,7198556
2026,1125,Gobierno Autónomo Municipal de Las Carreras,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,362461
2026,1125,Gobierno Autónomo Municipal de Las Carreras,4.3.2,4.3,3,Maquinaria y Equipo de Producción,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,65020
