codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1415,Gobierno Autónomo Municipal de Choquecota,CHE,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1416,Gobierno Autónomo Municipal de Curahuara de Carangas,CDC,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1417,Gobierno Autónomo Municipal de Turco,TUR,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1418,Gobierno Autónomo Municipal de Huachacalla,HCH,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1419,Gobierno Autónomo Municipal de Escara,ESA,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1420,Gobierno Autónomo Municipal de Cruz de Machacamarca,CMA,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,YUG,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1422,Gobierno Autónomo Municipal de Esmeralda,ESM,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1423,Gobierno Autónomo Municipal de Toledo,TOL,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1424,Gobierno Autónomo Municipal de Andamarca (Santiago de Andamarca),ADN,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1425,Gobierno Autónomo Municipal de Belén de Andamarca,BEL,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1427,Gobierno Autónomo Municipal de Pampa Aullagas,PAM,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1428,Gobierno Autónomo Municipal de La Rivera,RIV,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1429,Gobierno Autónomo Municipal de Todos Santos,TOS,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1430,Gobierno Autónomo Municipal de Carangas,CGA,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1431,Gobierno Autónomo Municipal de Sabaya,SAP,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1432,Gobierno Autónomo Municipal de Coipasa,COI,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),SDH,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1435,Gobierno Autónomo Municipal de Soracachi,SRC,municipal,GAM,Oruro,Clasificadores Presupuestarios 2026
1501,Gobierno Autónomo Municipal de Potosí,POT,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
