DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIBpc_2021_wmean,decile,departamento_geo,provincia_geo,municipio_geo,depto_key,mun_key,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
PotosÃ­,Sur Lipez,San Pablo,San Pablo de LÃ­pez,1885-12-04,CSL,1885-12-04,-67.2322664177,-22.1753790097,San Pablo de Lipez,3.1775582556292647e-06,9,Potosí,Sur Lipez,San Pablo,potosi,san pablo,1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,municipal,GAM,3842453.0,Sur Lípez,San Pablo,2523.0,3371.0,3150.0,1650.0,1500.0,1219.8263492063
Cochabamba,Ayopaya,Morochata,Morochata,1826-02-15,ML,1911-01-24,-66.5707802928,-17.2029918222,Morochata,2.0300130927353166e-06,3,Cochabamba,Ayopaya,Morochata,cochabamba,morochata,1311,Gobierno Autónomo Municipal de Morochata,Cochabamba,municipal,GAM,24730065.0,Ayopaya,Morochata,17073.0,12797.0,14720.0,7552.0,7168.0,1680.0315896739
PotosÃ­,Antonio Quijarro,Tomave,Tomave,1967-01-27,323,1967-01-27,-66.3942821823,-20.1016061825,Tomave,2.3564173261547694e-06,6,Potosí,Antonio Quijarro,Tomave,potosi,tomave,1531,Gobierno Autónomo Municipal de Tomave,Potosí,municipal,GAM,8885091.0,Antonio Quijarro,Tomave,7970.0,8854.0,7845.0,3902.0,3943.0,1132.5801147228
PotosÃ­,Antonio Quijarro,Porco,Porco,1967-01-27,322,1967-01-27,-65.9841479693,-19.8079684669,Porco,2.6404645723232534e-06,8,Potosí,Antonio Quijarro,Porco,potosi,porco,1532,Gobierno Autónomo Municipal de Porco,Potosí,municipal,GAM,29845352.0,Antonio Quijarro,Porco,5959.0,10866.0,14654.0,7978.0,6676.0,2036.6693053091
PotosÃ­,TomÃ¡s FrÃ­as,Yocalla,Villa de Yocalla,1993-11-10,266,1963-11-28,-65.9409900038,-19.4955687279,Yocalla,2.280550461364328e-06,6,Potosí,Tomás Frías,Yocalla,potosi,yocalla,1503,Gobierno Autónomo Municipal de Yocalla,Potosí,municipal,GAM,13179641.0,Tomás Frías,Yocalla,8046.0,8979.0,12253.0,6276.0,5977.0,1075.6256426997
PotosÃ­,TomÃ¡s FrÃ­as,Urmiri,BelÃ©n de Urmiri,1993-11-10,1512,1993-11-10,-66.1807398914,-19.4728148854,Belen de Urmiri,2.1921475763519993e-06,5,Potosí,Tomás Frías,Urmiri,potosi,urmiri,1504,Gobierno Autónomo Municipal de Urmiri,Potosí,municipal,GAM,4488097.0,Tomás Frías,Urmiri,2025.0,2759.0,3121.0,1852.0,1269.0,1438.0317206024
Oruro,Mejillones,Todos Santos,Todos Santos,1989-02-21,1464,1993-02-18,-68.7586127221,-19.0281324549,Todos Santos,2.510835429347935e-06,7,Oruro,Mejillones,Todos Santos,oruro,todos santos,1429,Gobierno Autónomo Municipal de Todos Santos,Oruro,municipal,GAM,1632674.0,Mejillones,Todos Santos,387.0,727.0,1140.0,607.0,533.0,1432.1701754386
Santa Cruz,Ã‘uflo De ChÃ¡vez,ConcepciÃ³n,ConcepciÃ³n,1915-09-16,CSL,1915-09-16,-62.1121246378,-15.2984533371,ConcepciÃ³n,3.613616399888997e-06,10,Santa Cruz,Ã‘uflo De ChÃ¡vez,Concepción,santa cruz,concepcion,1737,Gobierno Autónomo Municipal de Concepción,Santa Cruz,municipal,GAM,40278991.0,Ñuflo de Chávez,Concepción,14522.0,18800.0,30118.0,16297.0,13821.0,1337.3727007105
Santa Cruz,Sara,Santa Rosa,Santa Rosa,1883-09-25,CSL,1926-05-03,-63.8386898293,-16.6592552289,Santa Rosa del Sara,2.803456709443708e-06,8,Santa Cruz,Sara,Santa Rosa,santa cruz,santa rosa,1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,municipal,GAM,20610729.0,Sara,Santa Rosa,15052.0,19217.0,17999.0,9776.0,8223.0,1145.1041168954
Beni,ItÃ©nez,Huacaraje,Huacaraje,1995-10-31,1669,1995-10-31,-64.0627529978,-13.8239836757,Huacaraje,2.6318396066926653e-06,8,Beni,Iténez,Huacaraje,beni,huacaraje,1819,Gobierno Autónomo Municipal de Huacaraje,Beni,municipal,GAM,5701760.0,Iténez,Huacaraje,3706.0,4111.0,4630.0,2527.0,2103.0,1231.4816414687
PotosÃ­,JosÃ© MarÃ­a Linares,Ckochas,Ckochas,2006-08-15,3462,2006-08-15,-65.0221106723,-19.7420817829,Ckochas,2.0677316570072435e-06,3,Potosí,José María Linares,Ckochas,potosi,ckochas,1539,Gobierno Autónomo Municipal de Ckochas,Potosí,municipal,GAM,14798435.0,José María Linares,Ckochas,16886.0,15812.0,14338.0,7403.0,6935.0,1032.1129167248
Oruro,Sur Carangas,Santiago de Andamarca,Santiago de Andamarca,1980-03-31,1236,1991-02-13,-67.3810571756,-18.8925523702,Santiago de Andamarca,2.6999741749023087e-06,8,Oruro,Sur Carangas,Santiago de Andamarca,oruro,santiago de andamarca,,,,,,,,,,,,,,
