status,departamento_pob2021,municipio_pob2021,pob2021_key,poblacion_proyectada_2021,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo
match_exacto,La Paz,Coripata,coripata,15616,1266,Gobierno Autónomo Municipal de Coripata,La Paz,GAM,municipal
match_exacto,La Paz,Ixiamas,ixiamas,9635,1267,Gobierno Autónomo Municipal de Ixiamas,La Paz,GAM,municipal
match_exacto,La Paz,San Buenaventura,san buenaventura,9683,1268,Gobierno Autónomo Municipal de San Buenaventura,La Paz,GAM,municipal
match_contiene,La Paz,Charazani,charazani,9383,1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),La Paz,GAM,municipal
match_exacto,La Paz,Curva,curva,3398,1270,Gobierno Autónomo Municipal de Curva,La Paz,GAM,municipal
match_exacto,La Paz,Copacabana,copacabana,12673,1232,Gobierno Autónomo Municipal de Copacabana,La Paz,GAM,municipal
match_exacto,La Paz,San Pedro de Tiquina,san pedro de tiquina,6088,1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,La Paz,GAM,municipal
match_exacto,La Paz,Tito Yupanqui,tito yupanqui,1980,1234,Gobierno Autónomo Municipal de Tito Yupanqui,La Paz,GAM,municipal
match_exacto,La Paz,San Pedro Cuarahuara,san pedro de curahuara,7300,1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,La Paz,GAM,municipal
match_exacto,La Paz,Papel Pampa,papel pampa,6464,1272,Gobierno Autónomo Municipal de Papel Pampa,La Paz,GAM,municipal
match_exacto,La Paz,Chacarilla,chacarilla,2259,1273,Gobierno Autónomo Municipal de Chacarilla,La Paz,GAM,municipal
match_exacto,La Paz,Santiago de Machaca,santiago de machaca,4942,1274,Gobierno Autónomo Municipal de Santiago de Machaca,La Paz,GAM,municipal
match_exacto,La Paz,Catacora,catacora,1771,1275,Gobierno Autónomo Municipal de Catacora,La Paz,GAM,municipal
match_exacto,La Paz,Caranavi,caranavi,45628,1210,Gobierno Autónomo Municipal de Caranavi,La Paz,GAM,municipal
match_exacto,La Paz,Alto Beni,alto beni,8964,1285,Gobierno Autónomo Municipal de Alto Beni,La Paz,GAM,municipal
match_exacto,Cochabamba,Cochabamba,cochabamba,841276,1301,Gobierno Autónomo Municipal de Cochabamba,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Aiquile,aiquile,21345,1307,Gobierno Autónomo Municipal de Aiquile,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Pasorapa,pasorapa,2819,1308,Gobierno Autónomo Municipal de Pasorapa,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Omereque,omereque,4559,1309,Gobierno Autónomo Municipal de Omereque,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Independencia,independencia,22612,1310,Gobierno Autónomo Municipal de Independencia,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Morochata,morochata,10701,1311,Gobierno Autónomo Municipal de Morochata,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Cocapata,cocapata,17719,1346,Gobierno Autónomo Municipal de Cocapata,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Tarata,tarata,9976,1320,Gobierno Autónomo Municipal de Tarata,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Anzaldo,anzaldo,5254,1321,Gobierno Autónomo Municipal de Anzaldo,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Arbieto,arbieto,17823,1322,Gobierno Autónomo Municipal de Arbieto,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Sacabamba,sacabamba,3194,1323,Gobierno Autónomo Municipal de Sacabamba,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Arani,arani,9271,1336,Gobierno Autónomo Municipal de Arani,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Vacas,vacas,8193,1337,Gobierno Autónomo Municipal de Vacas,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Arque,arque,10082,1338,Gobierno Autónomo Municipal de Arque,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Tacopaya,tacopaya,7597,1339,Gobierno Autónomo Municipal de Tacopaya,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Capinota,capinota,21144,1327,Gobierno Autónomo Municipal de Capinota,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Santivañez,santivanez,6683,1328,Gobierno Autónomo Municipal de Santivañez,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Sicaya,sicaya,3901,1329,Gobierno Autónomo Municipal de Sicaya,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Cliza,cliza,22276,1324,Gobierno Autónomo Municipal de Cliza,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Toko,toco,5656,1325,Gobierno Autónomo Municipal de Toco,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Tolata,tolata,5851,1326,Gobierno Autónomo Municipal de Tolata,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Quillacollo,quillacollo,178692,1302,Gobierno Autónomo Municipal de Quillacollo,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Sipe Sipe,sipe sipe,47641,1303,Gobierno Autónomo Municipal de Sipe Sipe,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Tiquipaya,tiquipaya,63376,1304,Gobierno Autónomo Municipal de Tiquipaya,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Vinto,vinto,59495,1305,Gobierno Autónomo Municipal de Vinto,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Colcapirhua,colcapirhua,52847,1306,Gobierno Autónomo Municipal de Colcapirhua,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Sacaba,sacaba,182682,1312,Gobierno Autónomo Municipal de Sacaba,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Colomi,colomi,20918,1313,Gobierno Autónomo Municipal de Colomi,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Villa Tunari,villa tunari,85552,1314,Gobierno Autónomo Municipal de Villa Tunari,Cochabamba,GAM,municipal
