status,departamento_nbi,provincia_nbi,municipio_nbi,nbi_key,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,nbi_inadecuados_materiales_vivienda,nbi_insuficientes_espacios_vivienda,nbi_inadecuados_agua_saneamiento,nbi_inadecuados_insumos_energeticos,nbi_insuficiencia_educacion,nbi_inadecuada_atencion_salud,nbi_no_pobre_pct,nbi_necesidades_basicas_satisfechas_pct,nbi_umbral_pct,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct
match_exacto,CHUQUISACA,Nor Cinti,Villa Charcas,villa charcas,1129,Gobierno Autónomo Municipal de Villa Charcas,Chuquisaca,GAM,municipal,8714,9332,8842,7250,9972,2178,32.5,7.1,25.5,67.5,50.0,16.2,1.3
match_exacto,CHUQUISACA,Belisario Boeto,Villa Serrano,villa serrano,1122,Gobierno Autónomo Municipal de Villa Serrano,Chuquisaca,GAM,municipal,3461,4147,3374,4922,5847,997,52.8,17.4,35.3,47.2,43.0,4.1,0.1
match_contiene,CHUQUISACA,Sud Cinti,Villa Abecia,villa abecia,1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),Chuquisaca,GAM,municipal,2140,3694,2136,2584,2747,505,50.9,11.7,39.2,49.1,43.1,5.9,0.1
match_exacto,CHUQUISACA,Sud Cinti,Culpina,culpina,1124,Gobierno Autónomo Municipal de Culpina,Chuquisaca,GAM,municipal,9424,8694,7874,7642,10603,2186,34.3,8.6,25.7,65.7,50.7,14.6,0.5
match_exacto,CHUQUISACA,Sud Cinti,Las Carreras,las carreras,1125,Gobierno Autónomo Municipal de Las Carreras,Chuquisaca,GAM,municipal,1747,3510,1920,2939,2765,459,47.8,11.9,35.8,52.2,47.6,4.5,0.1
match_exacto,CHUQUISACA,Luis Calvo,Villa Vaca Guzmán,villa vaca guzman,1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,Chuquisaca,GAM,municipal,3031,8250,4135,5562,5122,861,50.4,14.3,36.2,49.6,41.7,7.8,0.1
match_manual,CHUQUISACA,Luis Calvo,Huacaya (Autonomía Guaraní Chaqueño de Huacaya),huacaya autonomia guarani chaqueno de huacaya,3101,Autonomía del Territorio Indígena Originario Campesino Guaraní Chaqueño de,Chuquisaca,GAIOC,indigena_originario_campesino,784,1836,805,1690,1103,154,54.6,12.9,41.7,45.4,43.8,1.5,0.2
match_exacto,CHUQUISACA,Luis Calvo,Macharetí,machareti,1128,Gobierno Autónomo Municipal de Machareti,Chuquisaca,GAM,municipal,2595,4147,1898,3154,2952,608,52.3,15.1,37.2,47.7,42.4,5.2,0.0
match_exacto,LA PAZ,Murillo,Nuestra Señora de La Paz,la paz,1201,Gobierno Autónomo Municipal de La Paz,La Paz,GAM,municipal,24726,323130,34873,7475,76735,98253,92.8,60.7,32.0,7.2,6.9,0.3,0.0
match_exacto,LA PAZ,Murillo,Palca,palca,1202,Gobierno Autónomo Municipal de Palca,La Paz,GAM,municipal,8503,13439,14639,7359,10357,6636,34.7,5.8,28.8,65.3,54.6,10.5,0.2
match_exacto,LA PAZ,Murillo,Mecapaca,mecapaca,1203,Gobierno Autónomo Municipal de Mecapaca,La Paz,GAM,municipal,5090,11441,9348,4580,7450,4797,57.9,25.2,32.7,42.1,35.4,6.7,0.1
match_contiene,LA PAZ,Murillo,Achocalla,achocalla,1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,GAM,municipal,7710,25918,27093,5801,13105,11727,56.8,12.2,44.5,43.2,38.7,4.4,0.1
match_contiene,LA PAZ,Murillo,El Alto,el alto,1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,GAM,municipal,69460,455609,68682,15859,173651,226574,83.1,35.3,47.8,16.9,16.2,0.7,0.0
match_exacto,LA PAZ,Omasuyos,Achacachi,achacachi,1224,Gobierno Autónomo Municipal de Achacachi,La Paz,GAM,municipal,19592,22620,17278,12053,17484,13150,54.5,15.3,39.2,45.5,39.6,5.8,0.1
match_manual,LA PAZ,Omasuyos,Villa Ancoraimes,villa ancoraimes,1225,Gobierno Autónomo Municipal de Ancoraimes,La Paz,GAM,municipal,11147,9617,9853,10158,8153,5307,28.9,5.1,23.8,71.1,59.0,11.7,0.3
match_exacto,LA PAZ,Omasuyos,Huarina,huarina,1281,Gobierno Autónomo Municipal de Huarina,La Paz,GAM,municipal,3218,4182,4074,2609,3479,1640,53.3,13.1,40.2,46.7,41.5,5.1,0.1
match_exacto,LA PAZ,Omasuyos,Santiago de Huata,santiago de huata,1282,Gobierno Autónomo Municipal de Santiago de Huata,La Paz,GAM,municipal,4146,3895,3846,5002,2991,2004,54.9,19.2,35.7,45.1,40.2,4.7,0.2
