status,departamento_nbi,provincia_nbi,municipio_nbi,nbi_key,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,nbi_inadecuados_materiales_vivienda,nbi_insuficientes_espacios_vivienda,nbi_inadecuados_agua_saneamiento,nbi_inadecuados_insumos_energeticos,nbi_insuficiencia_educacion,nbi_inadecuada_atencion_salud,nbi_no_pobre_pct,nbi_necesidades_basicas_satisfechas_pct,nbi_umbral_pct,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct
match_exacto,LA PAZ,Omasuyos,Huatajata,huatajata,1286,Gobierno Autónomo Municipal de Huatajata,La Paz,GAM,municipal,845,2082,1323,1079,1030,532,79.7,42.7,37.0,20.3,18.1,2.2,0.0
match_exacto,LA PAZ,Omasuyos,Chua Cocani,chua cocani,1287,Gobierno Autónomo Municipal de Chua Cocani,La Paz,GAM,municipal,2531,4073,2965,2397,2256,1296,58.9,16.7,42.2,41.1,36.3,4.7,0.1
match_exacto,LA PAZ,Pacajes,Corocoro,corocoro,1238,Gobierno Autónomo Municipal de Corocoro,La Paz,GAM,municipal,7930,7861,10046,7208,4578,2971,32.4,10.2,22.2,67.6,56.2,11.1,0.3
match_exacto,LA PAZ,Pacajes,Caquiaviri,caquiaviri,1239,Gobierno Autónomo Municipal de Caquiaviri,La Paz,GAM,municipal,10584,10636,11807,10561,5052,4049,24.8,4.1,20.8,75.2,66.3,8.6,0.2
match_exacto,LA PAZ,Pacajes,Calacoto,calacoto,1240,Gobierno Autónomo Municipal de Calacoto,La Paz,GAM,municipal,8065,7669,10065,9980,4094,3013,19.0,2.6,16.3,81.0,66.0,14.8,0.2
match_exacto,LA PAZ,Pacajes,Comanche,comanche,1241,Gobierno Autónomo Municipal de Comanche,La Paz,GAM,municipal,3881,3159,3324,3267,2222,1413,27.3,5.0,22.3,72.7,63.8,8.8,0.0
match_exacto,LA PAZ,Pacajes,Charaña,charana,1242,Gobierno Autónomo Municipal de Charaña,La Paz,GAM,municipal,2458,2292,2699,2646,1328,1230,30.8,10.9,19.9,69.2,51.2,17.7,0.3
match_exacto,LA PAZ,Pacajes,Waldo Ballivián,waldo ballivian,1243,Gobierno Autónomo Municipal de Waldo Ballivián,La Paz,GAM,municipal,3423,4370,3995,1852,1147,782,44.1,2.7,41.4,55.9,52.2,3.6,0.1
match_exacto,LA PAZ,Pacajes,Nazacara de Pacajes,nazacara de pacajes,1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,La Paz,GAM,municipal,2807,2834,2775,2537,1467,937,26.3,4.9,21.4,73.7,64.6,9.1,0.1
match_exacto,LA PAZ,Pacajes,Santiago de Callapa,santiago de callapa,1245,Gobierno Autónomo Municipal de Santiago de Callapa,La Paz,GAM,municipal,5850,4984,7035,6492,3700,2269,10.2,1.1,9.1,89.8,67.2,22.2,0.5
match_exacto,LA PAZ,Camacho,Puerto Acosta,puerto acosta,1246,Gobierno Autónomo Municipal de Puerto Acosta,La Paz,GAM,municipal,9597,7248,10640,9595,7153,5307,23.9,5.4,18.5,76.1,55.0,20.5,0.6
match_exacto,LA PAZ,Camacho,Mocomoco,mocomoco,1247,Gobierno Autónomo Municipal de Mocomoco,La Paz,GAM,municipal,13391,8736,9877,13038,9758,5274,23.0,4.0,19.0,77.0,62.1,14.6,0.4
match_exacto,LA PAZ,Camacho,Puerto Mayor de Carabuco,carabuco,1248,Gobierno Autónomo Municipal de Carabuco,La Paz,GAM,municipal,11218,8445,10773,11197,8089,5111,31.1,7.1,23.9,68.9,56.2,12.5,0.3
match_exacto,LA PAZ,Camacho,Humanata,humanata,1284,Gobierno Autónomo Municipal de Humanata,La Paz,GAM,municipal,4587,3154,4249,4025,3197,2104,13.9,1.5,12.4,86.1,63.3,22.0,0.8
match_exacto,LA PAZ,Camacho,Escoma,escoma,1283,Gobierno Autónomo Municipal de Escoma,La Paz,GAM,municipal,5486,4347,5990,4928,3924,2422,31.5,8.9,22.6,68.5,55.9,12.1,0.6
match_exacto,LA PAZ,Muñecas,Chuma,chuma,1235,Gobierno Autónomo Municipal de Chuma,La Paz,GAM,municipal,11639,10580,9254,13971,8478,3604,29.8,6.2,23.6,70.2,59.5,10.4,0.3
match_exacto,LA PAZ,Muñecas,Ayata,ayata,1236,Gobierno Autónomo Municipal de Ayata,La Paz,GAM,municipal,7255,5017,5235,7013,4537,1950,24.0,3.2,20.8,76.0,63.6,12.1,0.4
match_exacto,LA PAZ,Muñecas,Aucapata,aucapata,1237,Gobierno Autónomo Municipal de Aucapata,La Paz,GAM,municipal,4370,4063,3836,3647,3351,1314,30.9,6.5,24.4,69.1,57.2,11.5,0.3
match_exacto,LA PAZ,Larecaja,Sorata,sorata,1226,Gobierno Autónomo Municipal de Sorata,La Paz,GAM,municipal,15437,17809,16600,15984,12693,7458,38.8,8.5,30.3,61.2,51.2,9.7,0.3
match_exacto,LA PAZ,Larecaja,Guanay,guanay,1227,Gobierno Autónomo Municipal de Guanay,La Paz,GAM,municipal,4318,10536,5729,3277,5379,3032,61.9,11.0,50.9,38.1,30.7,7.0,0.3
match_exacto,LA PAZ,Larecaja,Tacacoma,tacacoma,1228,Gobierno Autónomo Municipal de Tacacoma,La Paz,GAM,municipal,5293,5458,6069,4979,3558,1583,37.9,6.2,31.7,62.1,52.8,9.0,0.3
match_exacto,LA PAZ,Larecaja,Quiabaya,quiabaya,1230,Gobierno Autónomo Municipal de Quiabaya,La Paz,GAM,municipal,3165,2927,2679,3277,1997,829,22.2,5.0,17.2,77.8,63.5,14.0,0.3
