status,departamento_pibpc,provincia_pibpc,municipio_pibpc,municipio_alt_pibpc,pibpc_key,pibpc_alt_key,pib_usd2017,poblacion_estimada_2021,pibpc_usd2017,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,presupuesto_total_sigep
match_exacto,Cochabamba,Capinota,Sicaya,Sicaya,sicaya,sicaya,9445164.025201166,2820.4956259369783,3348.7603874809947,1329,Gobierno Autónomo Municipal de Sicaya,Cochabamba,GAM,municipal,4373205.0
match_exacto,Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,puerto quijarro,puerto quijarro,67851638.09625907,11875.622848984896,5713.522478701729,1744,Gobierno Autónomo Municipal de Puerto Quijarro,Santa Cruz,GAM,municipal,45697585.0
match_exacto,Cochabamba,Capinota,Capinota,Capinota,capinota,capinota,76200314.93371661,23134.4095062428,3293.8085112202243,1327,Gobierno Autónomo Municipal de Capinota,Cochabamba,GAM,municipal,21527872.0
match_exacto,Cochabamba,Arque,Arque,Arque,arque,arque,28857900.9449502,9318.97529700446,3096.681772965578,1338,Gobierno Autónomo Municipal de Arque,Cochabamba,GAM,municipal,13660801.0
match_manual,Oruro,Litoral,Yunguyo del Litoral,Yunguyo del Litoral,yunguyo del litoral,yunguyo del litoral,2186601.424789514,530.2556530687224,4123.673952620973,1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,Oruro,GAM,municipal,1303623.0
match_exacto,Oruro,Litoral,Huachacalla,Huachacalla,huachacalla,huachacalla,4158547.3707847386,1008.4568805789312,4123.673952620973,1418,Gobierno Autónomo Municipal de Huachacalla,Oruro,GAM,municipal,4567457.0
match_exacto,Oruro,Litoral,Esmeralda,Esmeralda,esmeralda,esmeralda,9137101.532269323,2861.1998042019086,3193.45105464174,1422,Gobierno Autónomo Municipal de Esmeralda,Oruro,GAM,municipal,4910318.0
match_exacto,Oruro,Abaroa,Santuario de Quillacas,Santuario de Quillacas,santuario de quillacas,santuario de quillacas,12368826.41424224,6397.135896770258,1933.494397154659,1405,Gobierno Autónomo Municipal de Santuario de Quillacas,Oruro,GAM,municipal,11289263.0
match_exacto,Oruro,Ladislao Cabrera,Pampa Aullagas,Pampa Aullagas,pampa aullagas,pampa aullagas,5797267.308034824,3134.76684019514,1849.345614385133,1427,Gobierno Autónomo Municipal de Pampa Aullagas,Oruro,GAM,municipal,5151173.0
match_exacto,Oruro,Sebastián Pagador,Santiago de Huari,Santiago de Huari,santiago de huari,santiago de huari,35342562.305715844,18121.79406874421,1950.2794354491296,1412,Gobierno Autónomo Municipal de Santiago de Huari,Oruro,GAM,municipal,17800567.0
match_exacto,Oruro,Poopó,Pazña,Pazña,pazna,pazna,14207457.267984504,6973.374171704266,2037.3863381135984,1409,Gobierno Autónomo Municipal de Pazña,Oruro,GAM,municipal,7223015.0
match_exacto,Chuquisaca,Oropeza,Sucre,Sucre,sucre,sucre,785634778.2846336,299617.24239084625,2622.1280591715235,1101,Gobierno Autónomo Municipal de Sucre,Chuquisaca,GAM,municipal,536787240.0
match_exacto,Chuquisaca,Yamparáez,Tarabuco,Tarabuco,tarabuco,tarabuco,39270010.35950403,20769.89349109957,1890.7179459698348,1117,Gobierno Autónomo Municipal de Tarabuco,Chuquisaca,GAM,municipal,15379769.0
match_exacto,Chuquisaca,Yamparáez,Yamparáez,Yamparáez,yamparaez,yamparaez,24081505.476523813,10196.065310786938,2361.8429994800795,1118,Gobierno Autónomo Municipal de Yamparáez,Chuquisaca,GAM,municipal,12312010.0
